Stations,NSE (mean),NSE (std)
1030,0.7169090828119185,0.03344580013248217
317,0.6500028080828781,0.04301592862783116
1061,0.5506709492358127,0.05995523793319152
1041,0.7496704248571742,0.045852613728728946
335,0.7341065401776955,0.02283301552234391
342,0.5494840058242422,0.051310962952455325
345,0.7182559054843047,0.04376568269161516
348,0.5723007919707737,0.050796805040601925
353,0.7767091665161039,0.02935571899814597
368,0.7399197574944563,0.0263222941349981
371,0.7527561194833214,0.03079601253424032
913,0.6356192788730917,0.03794611928285275
378,0.6033965311637013,0.02989057097889647
380,0.703833752304313,0.046425255746801675
383,0.4958473712490257,0.0799574862736734
386,0.8478830420577216,0.025645586005037736
387,0.8207628606897297,0.031413940690980725
1101,0.6978905689624219,0.06977478110326459
409,0.6454342965894843,0.050386732567711014
904,0.7751274895009022,0.03855523456692066
415,0.6991733800287124,0.025713286572819127
426,0.485329121263603,0.06574145802982291
435,0.6555488779774487,0.04031926030892422
444,0.7392896059914477,0.03838258264411498
449,0.6660826034561352,0.03872433839244559
452,0.3282879111505185,0.0595507264706481
457,0.7515136647994524,0.028836645279258912
461,0.5080950590462014,0.04767967388328007
465,0.7634579394125418,0.040642661686374135
467,0.7185754725247004,0.020780305688710147
468,0.6073230508906965,0.04372936695794722
485,0.7268255073039643,0.027775142745234432
521,0.5589160500992755,0.06845858581820939
522,0.6230400626662367,0.04017343422261042
528,0.6580904789852712,0.05353474917765409
531,0.5859612712796828,0.04008917580160772
538,0.6923956629209663,0.03364184528389006
542,0.6699073074029929,0.028705243760989728
543,0.677112846898493,0.028809768021376973
544,0.8062439726325189,0.02363987016285723
547,0.7792996805874864,0.021026208821202937
970,0.7042226543411826,0.040572427898704695
554,0.724302041364451,0.029361642583371345
555,0.7302366840510798,0.041459009695460625
556,0.73377349726389,0.03907805749452309
559,0.4806360846108048,0.05055909319026249
565,0.7947361570167769,0.022899583571568478
566,0.6980064047390351,0.02736546746198085
572,0.553671828655071,0.05080549161919888
1047,0.78492019023425,0.030015397305779797
586,0.7643888796712649,0.027150818728020866
589,0.7345628005010828,0.030024969826099306
597,0.7723825388422536,0.023822304962055937
940,0.7860709455697034,0.01588047187414201
607,0.649079253290388,0.045003545203099335
905,0.7673082159033225,0.03159184738928251
618,0.7443830590094197,0.025457339969990455
1040,0.7399511045010873,0.03150401272179973
622,0.610564736146015,0.03896229879157123
1014,0.6822499884773627,0.020236899219053656
629,0.7397340872014795,0.03130446422062465
632,0.7484466476225049,0.05037259170067302
658,0.6444264024850325,0.03506000471182697
661,0.5047609139292007,0.056275618007339004
669,0.7379603825456674,0.027754157251354283
675,0.628797265539158,0.04682734155428799
680,0.6145741493512945,0.05149053573649983
682,0.7655067370628755,0.02146194550373088
688,0.7171844435058431,0.0295535468396374
701,0.5402077467640218,0.05047502643868023
709,0.750106615692352,0.022296655141089212
713,0.8036670421726451,0.018671816283612044
717,0.7581867747095417,0.01867308019774855
732,0.698013284050628,0.03534322440588384
737,0.7251864851063736,0.03762402022181896
739,0.6955669929912597,0.04629396181379385
742,0.5247058587900999,0.03739566902505432
1060,0.7818840811417399,0.037579142747680594
762,0.5394459585519752,0.03201536986535427
765,0.7230145542401106,0.030515656104735885
779,0.8122411425939827,0.014997261916576736
780,0.8318966566153009,0.06679710037419255
793,0.46462748975956614,0.04529313610029617
797,0.7499865017301504,0.037727234243503854
802,0.6461474313985326,0.0317544566885663
1097,0.6301201883016049,0.06592702709811293
825,0.7356652292466139,0.03874245136889421
827,0.627902763965854,0.035959601715603966
831,0.7745429995778716,0.03225184224902351
842,0.7408382050659319,0.020860217203500474
843,0.7443013570344567,0.04235498383268113
859,0.7043454040826346,0.05441360217634117
869,0.6212052705073264,0.0321257383595636
874,0.717296228012309,0.04485669081008336
2134,0.27058251990158355,0.0727492031142489
484,0.6528550665799758,0.029459625414323586
761,0.703193310786984,0.039615604323752496
