Stations,Test_corr,Test_NSE,Test_MAE
1030,0.8792794105865007,0.7438536794209497,1.6457812093098225
317,0.8117466778990863,0.6463237170683687,1.408761955414266
1061,0.7026303255768569,0.4890491376227797,1.4432569367467765
1041,0.870360854905141,0.751470289801601,1.1516733245606487
335,0.8612415568894769,0.7394411190046637,1.7183858311181082
342,0.816894011382273,0.65623050873936,1.4728858696997056
345,0.8802942292779597,0.7639257812649436,1.9963442184964497
348,0.8051469122739834,0.62986144146351,1.3790955395446
353,0.8971292482605663,0.7955145254481146,1.7806288101589194
368,0.8882226123910024,0.7886902462948401,1.4531135774980284
371,0.8866163814889454,0.7852276726261613,1.3560431916558515
913,0.8191847360498767,0.6679118814391052,1.4146750463239446
378,0.7885350993059208,0.6214878123750305,1.6326148185804032
380,0.867864837774096,0.7488905978243248,1.3254943815242548
383,0.7540561911202395,0.556309608553794,2.1664934378459715
386,0.9424568459405472,0.8819826589731103,1.2441834115639259
387,0.9413606006246394,0.8758052479452031,1.2610055868227235
1101,0.8195288910042198,0.6706084486285391,1.393390320837579
409,0.848581011738801,0.7124177364626179,2.113721131161222
904,0.8979451491543224,0.805487519898749,1.969010141127672
415,0.8361784536848771,0.6958714262310846,1.3409392902966895
426,0.7028136398964245,0.4938134322293757,1.8632141947852803
435,0.831343733362448,0.6878068368486175,1.7065181970075225
444,0.8819722819316811,0.7765448077278906,1.2688749830076986
449,0.8125563776826418,0.6510426185069331,1.693963646384904
452,0.6370233230584714,0.4013420923919899,1.6365501585005613
457,0.8586267233227306,0.7363401610490212,1.6503293479902912
461,0.7877516084661528,0.6070385598669508,1.512744395037812
465,0.9020332784011967,0.8091330963986811,1.5198720631030767
467,0.8527487065783864,0.7255268770792958,1.6170345812182758
468,0.8219908684038423,0.6587567086424546,1.3977017536213017
485,0.85296671239411,0.7244073383070382,1.4041611782268775
521,0.6410583127128857,0.4095179477281432,1.6896424761672193
522,0.74522379995682,0.5500346500027661,1.4410546937573712
528,0.796403204639243,0.6294481029442789,1.3032408924376095
531,0.7365006808451084,0.5346390278886062,1.8145647803954603
538,0.8385085913286352,0.6975534570558952,1.5731171349701771
542,0.8048653069296205,0.6473898698022278,1.5487201390056866
543,0.8489813352433904,0.7173286382106365,1.3205405252980442
544,0.9244300547540895,0.8338258222132315,1.5300883461001487
547,0.8835544614049313,0.7774249212791505,1.3532534282357989
970,0.8029326908288357,0.6435104798431706,1.6442558321269474
554,0.8632062417638023,0.7443807114708352,1.2989867739249967
555,0.8716351557460378,0.757804413334258,1.2423648060634387
556,0.8748188002550867,0.7593495405715485,1.1252201413778367
559,0.7114306347721938,0.5014870189347302,1.7469982180809465
565,0.9018674633996508,0.8114478552555449,1.5271814628139742
566,0.8664795005958555,0.7483065676318081,1.3435806777575539
572,0.7704004817079233,0.5923417613901805,1.8946090062681975
1047,0.914174700171336,0.8346928710188326,1.626625419637636
586,0.878837217248554,0.7693670274457023,1.4373727508222056
589,0.8675948803486054,0.7446388869704317,1.6810038824816231
597,0.8965376280792103,0.8019571325892909,1.2873144579134237
940,0.8986128390681263,0.8049519624768704,1.6817071491375748
607,0.8276180762964725,0.6775700432807488,1.211965182568059
905,0.8770354897576161,0.76624454542769,1.6302987748943758
618,0.8801454385785066,0.7744901687505579,1.479214559536695
1040,0.8849546076707924,0.7806674861924853,1.366405272287104
622,0.7973367221762745,0.6353238920518166,2.006537298488773
1014,0.8135604174518066,0.6604427666487629,1.3186735831160363
629,0.8764657290356059,0.7672589894325287,1.4512145967193284
632,0.9060759067864681,0.815957004477021,1.6482752500218494
658,0.7918384125361155,0.6251669528698416,1.2608118391731942
661,0.7435953254826122,0.5504823300059296,1.4583148569548194
669,0.8859977464562843,0.7762695581326579,1.5993272623181627
675,0.8104419087166498,0.6505185812321075,1.7188086250942198
680,0.7884473290316071,0.6180905825335368,1.4227194324482033
682,0.9074616611405495,0.8137801418089424,1.9758012565436678
688,0.8425038525384486,0.709067733602568,1.3023239397446946
701,0.7033396175590858,0.4834564142461918,1.899209015474641
709,0.8756277502783973,0.7650420349818798,1.906647083675107
713,0.9156917962647718,0.8361452047309331,1.5974538998098093
717,0.8920096556579035,0.7929726249828937,1.643636246233162
732,0.8381391521590197,0.6944941525452195,1.3784655596413276
737,0.8792828427900312,0.7727888959891707,2.5245505871814413
739,0.8819805172465511,0.7772010724831124,1.3637151990284446
742,0.7500123729361234,0.551464640171913,1.7070710104812727
1060,0.9062859704792967,0.8210502436814177,1.7266287911350722
762,0.7375335668613603,0.5437267720262962,1.6321852624410869
765,0.8514755086748007,0.7242230143969547,1.224372310993672
779,0.9060320409126338,0.8197525791635042,1.6272104588371956
780,0.9454117874711724,0.8937831250577485,1.6915649615970954
793,0.6510480316841707,0.3971615228207005,1.4505795028398085
797,0.8710586197158305,0.7572350225498926,1.712832771180121
802,0.8321642573196567,0.6763464599623665,1.3471716469281072
1097,0.8479483930199441,0.6859186871403494,1.52153242676696
825,0.8657010700395763,0.7481584074212678,2.687843296326092
827,0.791204729961254,0.6218176213069728,1.71464206808882
831,0.8797222425983818,0.7735043097084977,1.8313041726269166
842,0.8683832327887115,0.7450340403046478,1.3891817913812223
843,0.8919495053593193,0.7896553047662435,1.666009483860028
859,0.8766561643300138,0.7673337813463031,1.8445160246509662
869,0.8070565326868652,0.6433663013811614,1.6335950950849751
874,0.887559524657885,0.7754028905331909,2.702861377528882
2134,0.5403172121088847,0.2909934626544266,0.9433890348658494
0484,0.7816754183250281,0.607817633700148,2.286579921848592
0761,0.864737740003815,0.7464490166663332,1.4476592140170281
