

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:28:36 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0484,2012-10-01,,     0.0,     0.0,     7.2,    17.0,     6.0,    10.9,       0,
0484,2012-10-02,,     0.0,     0.0,     7.9,    17.7,     5.6,    11.1,       0,
0484,2012-10-03,,     0.0,     0.0,     9.6,    17.1,     6.9,    11.9,       0,
0484,2012-10-04,,     0.0,     0.0,    -1.7,    10.9,    -1.7,     5.3,       0,
0484,2012-10-05,,     0.0,     0.0,     0.0,    10.4,    -3.4,     3.8,       0,
0484,2012-10-06,,     0.0,     0.1,    -2.9,     7.3,    -3.2,     1.2,       0,
0484,2012-10-07,,     0.0,     0.1,    -2.7,     7.2,    -5.1,     0.4,       0,
0484,2012-10-08,,     0.0,     0.1,    -1.1,     8.8,    -4.8,     1.3,       0,
0484,2012-10-09,,     0.0,     0.1,     5.6,    12.4,    -1.4,     5.5,       0,
0484,2012-10-10,,     0.0,     0.1,     3.6,    12.5,     2.4,     6.6,       0,
0484,2012-10-11,,     0.0,     0.1,     7.3,    15.7,     3.3,     9.3,       0,
0484,2012-10-12,,     0.0,     0.1,     7.1,    17.1,     5.0,    10.2,       0,
0484,2012-10-13,,     0.1,     0.3,     4.7,    13.2,     4.3,     7.8,       1,
0484,2012-10-14,,     0.0,     0.3,     1.4,     4.9,     0.9,     3.6,       0,
0484,2012-10-15,,     0.0,     0.3,     4.3,    10.5,     1.3,     4.9,       0,
0484,2012-10-16,,     0.0,     0.3,     6.9,    12.0,     3.2,     7.0,       0,
0484,2012-10-17,,     0.0,     1.0,    -1.5,     9.0,    -1.5,     4.7,       0,
0484,2012-10-18,,     0.0,     1.0,    -0.6,     3.8,    -4.7,    -0.4,       0,
0484,2012-10-19,,     0.0,     1.0,     1.1,     8.1,    -2.3,     2.1,       0,
0484,2012-10-20,,     0.0,     1.0,    10.0,    12.0,     0.8,     7.3,       0,
0484,2012-10-21,,     0.0,     1.0,     5.4,    12.9,     4.6,     9.0,       0,
0484,2012-10-22,,     0.0,     1.0,     2.7,     9.3,     2.7,     6.1,       1,
0484,2012-10-23,,     0.9,     2.3,    -0.8,     9.5,    -0.8,     3.4,       6,
0484,2012-10-24,,     1.4,     3.4,    -4.8,     2.0,    -4.8,    -2.2,      13,
0484,2012-10-25,,     1.2,     3.6,    -6.0,     6.4,    -7.9,    -4.0,      10,
0484,2012-10-26,,     1.5,     4.0,    -5.8,    -0.7,    -6.0,    -4.9,      12,
0484,2012-10-27,,     1.4,     4.1,    -2.9,     4.3,    -8.1,    -4.0,       8,
0484,2012-10-28,,     1.3,     4.1,     2.1,     2.7,    -3.7,     0.1,       7,
0484,2012-10-29,,     1.0,     4.2,     4.9,     8.5,     1.8,     4.2,       4,
0484,2012-10-30,,     0.7,     4.2,     3.4,    10.2,     3.6,     6.2,       2,
0484,2012-10-31,,     0.5,     4.2,     5.6,    11.7,     2.1,     6.1,       2,
0484,2012-11-01,,     0.4,     4.2,     5.7,    14.6,     3.4,     8.0,       2,
0484,2012-11-02,,     0.3,     4.2,     0.2,     9.3,     0.2,     5.5,       2,
0484,2012-11-03,,     0.2,     4.2,    -1.4,     6.8,    -1.5,     1.3,       2,
0484,2012-11-04,,     0.2,     4.2,     3.6,     8.1,    -1.9,     2.4,       1,
0484,2012-11-05,,     0.2,     4.2,     1.0,     8.1,     0.6,     4.3,       1,
0484,2012-11-06,,     0.2,     4.2,     4.3,     9.0,     0.4,     4.0,       1,
0484,2012-11-07,,     0.2,     4.2,     5.1,    11.5,     1.9,     5.6,       1,
0484,2012-11-08,,     0.2,     4.2,     5.1,    11.1,     3.7,     7.2,       1,
0484,2012-11-09,,     0.2,     4.2,     5.2,    10.0,     2.2,     5.7,       1,
0484,2012-11-10,,     1.0,     5.1,    -7.0,     5.5,    -7.1,    -3.0,       9,
0484,2012-11-11,,     1.2,     5.3,   -10.5,    -4.5,   -10.6,    -8.4,      12,
0484,2012-11-12,,     1.2,     5.4,    -9.4,    -7.5,   -11.3,   -10.1,      11,
0484,2012-11-13,,     1.2,     5.4,    -4.1,     1.3,   -12.1,    -6.5,       9,
0484,2012-11-14,,     1.1,     5.5,    -3.6,     2.8,    -4.9,    -1.9,       6,
0484,2012-11-15,,     1.2,     5.7,    -2.2,     1.9,    -4.1,    -1.2,       8,
0484,2012-11-16,,     1.2,     5.7,    -1.5,     7.6,    -4.6,    -0.4,       7,
0484,2012-11-17,,     1.2,     5.7,     0.0,     5.9,    -2.3,     0.8,       5,
0484,2012-11-18,,     1.4,     6.0,     1.7,     8.1,    -0.4,     2.0,       6,
0484,2012-11-19,,     2.0,     6.8,     0.1,     2.3,    -1.1,     1.1,       9,
0484,2012-11-20,,     1.9,     6.8,    -1.1,     7.1,    -1.1,     1.1,       8,
0484,2012-11-21,,     1.9,     6.9,     2.4,     7.3,    -2.2,     1.5,       7,
0484,2012-11-22,,     2.2,     7.3,    -3.8,     6.7,    -4.1,     1.9,      11,
0484,2012-11-23,,     2.2,     7.3,    -8.4,    -0.1,    -8.4,    -5.1,      11,
0484,2012-11-24,,     2.2,     7.3,     2.9,     8.8,    -8.5,     0.3,      10,
0484,2012-11-25,,     2.2,     7.3,     3.7,     6.1,    -0.5,     2.7,      10,
0484,2012-11-26,,     2.3,     7.4,    -7.0,     3.9,    -7.1,    -0.4,      11,
0484,2012-11-27,,     2.3,     7.4,    -4.5,     3.0,    -9.9,    -4.8,      11,
0484,2012-11-28,,     2.3,     7.4,     0.4,     6.7,    -4.5,     0.6,      11,
0484,2012-11-29,,     2.3,     7.4,     2.8,     9.0,    -1.3,     3.3,      10,
0484,2012-11-30,,     2.3,     7.4,     2.4,     5.3,    -0.9,     2.2,      10,
0484,2012-12-01,,     2.8,     8.0,     1.3,     4.8,     1.1,     2.2,      12,
0484,2012-12-02,,     2.9,     8.1,     1.1,     3.9,    -0.4,     1.9,      11,
0484,2012-12-03,,     3.4,     8.9,    -5.2,     5.6,    -5.4,     1.5,      16,
0484,2012-12-04,,     3.5,     9.0,    -7.4,     2.0,    -8.6,    -5.5,      15,
0484,2012-12-05,,     3.7,     9.5,     2.0,     3.4,    -8.0,    -0.1,      15,
0484,2012-12-06,,     4.1,    10.3,    -0.2,     3.6,    -0.4,     1.4,      19,
0484,2012-12-07,,     4.1,    10.3,    -3.9,     3.1,    -3.9,    -0.7,      18,
0484,2012-12-08,,     4.1,    10.3,    -3.7,    -3.3,    -8.5,    -5.1,      18,
0484,2012-12-09,,     4.3,    10.5,   -13.1,    -3.5,   -14.1,    -9.0,      22,
0484,2012-12-10,,     4.4,    10.7,   -11.2,    -4.2,   -14.3,   -11.4,      24,
0484,2012-12-11,,     5.1,    11.5,    -6.5,    -5.8,   -11.3,    -7.6,      31,
