

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:28:39 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0484,2017-10-01,,     0.1,     0.0,     0.0,     8.6,    -0.1,     4.1,       1,
0484,2017-10-02,,     0.0,     0.1,    -1.5,     3.0,    -1.6,     0.0,       0,
0484,2017-10-03,,     0.3,     0.4,    -6.7,     2.9,    -6.7,    -2.1,       1,
0484,2017-10-04,,     0.2,     0.4,     3.1,     5.7,    -7.0,     0.1,       1,
0484,2017-10-05,,     0.2,     0.6,    -1.8,     3.9,    -1.9,     1.5,       2,
0484,2017-10-06,,     0.2,     0.6,    -1.1,    10.8,    -2.9,     2.3,       1,
0484,2017-10-07,,     0.1,     0.6,     4.3,     7.1,    -1.5,     2.5,       1,
0484,2017-10-08,,     0.1,     0.6,     2.4,    11.0,     2.4,     7.3,       1,
0484,2017-10-09,,     0.2,     0.7,    -3.3,     2.5,    -4.0,    -0.6,       2,
0484,2017-10-10,,     0.0,     0.7,    -2.6,     5.1,    -6.5,    -1.0,       0,
0484,2017-10-11,,     0.0,     0.7,     2.5,    11.1,    -3.0,     2.7,       0,
0484,2017-10-12,,     0.0,     0.7,     1.0,    11.3,     1.0,     5.6,       0,
0484,2017-10-13,,     0.0,     0.7,    -0.7,     4.3,    -2.6,     0.3,       0,
0484,2017-10-14,,     0.0,     0.7,    -3.2,     5.9,    -3.2,     1.5,       0,
0484,2017-10-15,,     0.2,     0.9,    -6.7,     1.3,    -7.3,    -4.2,       2,
0484,2017-10-16,,     0.1,     0.9,     4.2,    12.0,    -7.7,     1.8,       1,
0484,2017-10-17,,     0.0,     0.9,     3.0,    12.5,     1.5,     5.9,       0,
0484,2017-10-18,,     0.0,     0.9,     5.0,    14.4,     2.5,     7.6,       0,
0484,2017-10-19,,     0.0,     0.9,     3.1,    13.5,     1.3,     6.4,       0,
0484,2017-10-20,,     0.0,     0.9,     4.9,    15.5,     2.1,     8.4,       0,
0484,2017-10-21,,     0.2,     1.1,    -3.3,     9.4,    -3.4,     1.8,       1,
0484,2017-10-22,,     0.1,     1.1,     0.7,     1.0,    -4.3,    -1.6,       1,
0484,2017-10-23,,     0.0,     1.1,     4.6,     7.7,     0.7,     4.3,       0,
0484,2017-10-24,,     0.0,     1.1,     0.3,     7.5,    -0.8,     3.0,       0,
0484,2017-10-25,,     0.0,     1.1,     3.4,    11.2,    -0.9,     4.2,       0,
0484,2017-10-26,,     0.0,     1.1,     5.0,    13.8,     1.5,     6.3,       0,
0484,2017-10-27,,     0.0,     1.1,    -1.0,     7.8,    -1.2,     3.5,       0,
0484,2017-10-28,,     0.0,     1.1,     5.0,     7.6,    -1.7,     2.7,       0,
0484,2017-10-29,,     0.0,     1.1,     2.0,    10.4,     0.5,     4.4,       0,
0484,2017-10-30,,     0.0,     1.1,     2.1,    11.0,     1.2,     5.5,       0,
0484,2017-10-31,,     0.0,     1.1,    -4.6,     3.3,    -5.0,    -1.1,       0,
0484,2017-11-01,,     0.0,     1.1,     1.9,     3.6,    -5.0,    -0.6,       0,
0484,2017-11-02,,     0.0,     1.1,     4.1,     6.1,     1.7,     4.2,       0,
0484,2017-11-03,,     0.0,     1.1,     3.4,     8.1,     2.3,     4.9,       0,
0484,2017-11-04,,     0.6,     1.3,     1.1,     4.1,     1.1,     2.3,       4,
0484,2017-11-05,,     2.6,     3.0,    -3.2,     1.6,    -3.7,    -0.5,      18,
0484,2017-11-06,,     3.0,     3.4,    -4.2,     0.5,    -4.3,    -2.3,      19,
0484,2017-11-07,,     3.0,     3.4,    -7.4,     1.2,    -7.6,    -3.4,      19,
0484,2017-11-08,,     2.9,     3.4,   -12.3,     4.2,   -12.8,    -6.7,      17,
0484,2017-11-09,,     2.9,     3.4,    -3.2,     4.2,   -12.4,    -5.0,      16,
0484,2017-11-10,,     2.8,     3.4,    -0.6,     7.0,    -4.3,     0.5,      14,
0484,2017-11-11,,     2.8,     3.4,    -1.3,     4.5,    -1.9,     0.4,      13,
0484,2017-11-12,,     2.8,     3.4,    -5.4,     2.9,    -6.5,    -1.6,      12,
0484,2017-11-13,,     2.8,     3.4,     1.0,     9.6,    -5.7,     0.5,      12,
0484,2017-11-14,,     2.8,     3.4,     3.3,     9.1,    -2.2,     3.3,      10,
0484,2017-11-15,,     2.8,     3.4,    -3.9,     3.4,    -5.1,    -0.9,      13,
0484,2017-11-16,,     2.8,     3.4,     6.5,     8.1,    -4.1,     2.4,      13,
0484,2017-11-17,,     4.1,     4.7,    -0.3,     6.5,    -0.3,     2.9,      22,
0484,2017-11-18,,     5.4,     6.0,    -8.4,    -0.3,    -8.3,    -4.1,      28,
0484,2017-11-19,,     5.4,     6.0,    -8.9,     0.5,   -10.5,    -6.9,      24,
0484,2017-11-20,,     5.4,     6.0,    -0.9,     3.2,    -9.6,    -3.4,      23,
0484,2017-11-21,,     5.4,     6.0,     1.2,     3.0,    -1.7,     0.6,      23,
0484,2017-11-22,,     5.4,     6.0,     4.3,     5.2,     1.1,     3.1,      21,
0484,2017-11-23,,     5.4,     6.0,     4.3,     9.5,     3.3,     5.2,      19,
0484,2017-11-24,,     5.4,     6.0,     6.0,     9.4,     3.5,     6.0,      18,
0484,2017-11-25,,     5.3,     6.0,     0.8,     7.2,     0.0,     2.8,      16,
0484,2017-11-26,,     5.2,     6.0,     6.6,     8.5,    -2.3,     2.4,      17,
0484,2017-11-27,,     5.2,     6.0,     7.4,    12.9,     5.6,     8.7,      16,
0484,2017-11-28,,     5.4,     6.2,    -4.2,     8.5,    -4.2,     1.3,      18,
0484,2017-11-29,,     5.4,     6.2,    -2.4,     4.2,    -6.3,    -2.8,      18,
0484,2017-11-30,,     5.4,     6.2,    -8.0,     1.8,    -8.6,    -3.5,      18,
0484,2017-12-01,,     5.4,     6.2,    -2.2,     4.3,    -8.4,    -1.6,      16,
0484,2017-12-02,,     5.4,     6.2,    -2.3,     1.9,    -4.6,    -2.2,      16,
0484,2017-12-03,,     5.4,     6.2,     3.6,     5.4,    -3.3,     1.2,      16,
0484,2017-12-04,,     7.1,     7.9,    -7.5,     4.3,    -7.6,    -1.3,      30,
0484,2017-12-05,,     7.1,     7.9,   -12.3,    -2.9,   -12.3,    -8.6,      30,
0484,2017-12-06,,     7.1,     7.9,   -11.7,    -1.8,   -16.4,   -10.1,      29,
