

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:28:36 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0484,2013-10-01,,     0.0,     0.0,     2.3,    13.5,     1.9,     8.5,       0,
0484,2013-10-02,,     0.0,     0.0,     3.5,    13.5,     1.4,     7.1,       0,
0484,2013-10-03,,     0.0,     0.0,     1.6,    11.5,     1.2,     4.7,       0,
0484,2013-10-04,,     0.0,     0.5,    -3.4,     2.8,    -5.7,    -1.4,       0,
0484,2013-10-05,,     0.0,     0.6,    -4.0,     2.0,    -4.5,    -2.1,       0,
0484,2013-10-06,,     0.0,     0.6,    -1.2,     4.8,    -5.4,    -0.3,       0,
0484,2013-10-07,,     0.0,     0.6,     4.2,    13.3,    -2.1,     4.9,       0,
0484,2013-10-08,,     0.0,     0.6,     6.8,    16.0,     3.5,     9.1,       0,
0484,2013-10-09,,     0.0,     0.6,     1.1,    10.0,    -0.7,     4.8,       0,
0484,2013-10-10,,     0.0,     0.7,     2.0,    10.8,     0.9,     4.8,       0,
0484,2013-10-11,,     0.0,     1.2,    -1.3,     5.6,    -1.3,     2.1,       0,
0484,2013-10-12,,     0.0,     1.2,    -2.5,     4.6,    -2.8,    -0.2,       0,
0484,2013-10-13,,     0.0,     1.3,     1.7,     8.2,    -2.6,     2.4,       0,
0484,2013-10-14,,     0.0,     1.6,    -0.1,     5.8,    -0.1,     2.1,       0,
0484,2013-10-15,,     0.0,     1.9,    -2.9,     0.1,    -3.0,    -1.2,       0,
0484,2013-10-16,,     0.0,     1.9,    -5.4,     2.1,    -5.5,    -2.1,       0,
0484,2013-10-17,,     0.0,     1.9,    -1.7,     3.6,    -6.4,    -1.5,       0,
0484,2013-10-18,,     0.0,     1.9,    -1.4,     5.2,    -2.5,     0.3,       0,
0484,2013-10-19,,     0.0,     1.9,    -1.3,     4.8,    -4.3,    -0.1,       0,
0484,2013-10-20,,     0.0,     1.9,     2.4,     7.1,    -2.2,     2.2,       0,
0484,2013-10-21,,     0.0,     1.9,    -0.6,     8.1,    -0.6,     3.1,       0,
0484,2013-10-22,,     0.0,     1.9,     0.2,     8.6,    -2.0,     2.5,       0,
0484,2013-10-23,,     0.0,     1.9,     1.5,    12.2,    -0.1,     4.8,       0,
0484,2013-10-24,,     0.0,     1.9,     3.1,    13.8,     1.1,     6.1,       0,
0484,2013-10-25,,     0.0,     1.9,     2.1,    13.9,     2.1,     6.6,       0,
0484,2013-10-26,,     0.0,     1.9,     1.5,    12.4,     1.1,     5.5,       0,
0484,2013-10-27,,     0.0,     1.9,     2.5,    11.8,     0.5,     4.8,       0,
0484,2013-10-28,,     0.0,     1.9,     5.3,    10.8,     2.4,     6.2,       0,
