

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:22 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
2192,2012-10-01,,    0.00,    11.0,    28.5,     5.3,    16.0,
2192,2012-10-02,,    0.00,    11.5,    28.9,     5.7,    16.6,
2192,2012-10-03,,    0.00,    10.7,    29.7,     6.3,    16.7,
2192,2012-10-04,,    0.00,     8.7,    27.0,     5.5,    15.3,
2192,2012-10-05,,    0.00,     9.2,    26.5,     4.4,    14.5,
2192,2012-10-06,,    0.00,     5.9,    21.3,     5.4,    12.8,
2192,2012-10-07,,    0.00,     4.7,    20.1,     1.5,    10.0,
2192,2012-10-08,,    0.00,     6.6,    19.9,     1.0,    10.1,
2192,2012-10-09,,    0.00,    10.0,    19.6,     1.6,    11.0,
2192,2012-10-10,,    0.00,     7.3,    19.0,     3.1,    10.9,
2192,2012-10-11,,    0.00,     6.7,    21.3,     5.1,    12.3,
2192,2012-10-12,,    0.00,     8.7,    23.3,     2.7,    11.8,
2192,2012-10-13,,    0.00,     6.5,    21.5,     4.1,    10.3,
2192,2012-10-14,,    0.00,     6.9,    18.9,     3.1,    10.6,
2192,2012-10-15,,    0.00,     9.7,    23.9,     2.6,    11.9,
2192,2012-10-16,,    0.00,    13.6,    22.2,     7.6,    14.5,
2192,2012-10-17,,    0.00,     2.6,    22.0,     2.6,    14.3,
2192,2012-10-18,,    0.00,     3.8,    19.5,    -1.4,     8.0,
2192,2012-10-19,,    0.00,     9.1,    23.7,     1.4,    11.9,
2192,2012-10-20,,    0.00,    12.4,    24.1,     3.5,    13.0,
2192,2012-10-21,,    0.00,     1.4,    19.3,     1.4,     9.9,
2192,2012-10-22,,    0.00,     3.8,    14.3,    -0.8,     6.1,
2192,2012-10-23,,    0.31,    -0.2,     4.3,    -0.5,     0.7,
2192,2012-10-24,,    0.56,     0.2,     3.2,    -2.3,     0.0,
2192,2012-10-25,,    0.73,     0.0,     4.1,    -1.2,     0.7,
2192,2012-10-26,,    0.82,    -1.8,     5.7,    -2.0,     1.4,
2192,2012-10-27,,    0.82,     2.1,    13.0,    -4.6,     3.6,
2192,2012-10-28,,    0.82,     2.8,    16.0,    -0.1,     6.6,
2192,2012-10-29,,    0.82,    10.2,    18.5,     1.8,     8.7,
2192,2012-10-30,,    0.82,     3.1,    19.2,     3.1,    10.1,
2192,2012-10-31,,    0.82,    11.6,    19.5,     2.0,     9.7,
2192,2012-11-01,,    0.96,     4.9,    16.2,     3.7,    10.4,
2192,2012-11-02,,    0.96,    -0.1,    12.6,    -0.4,     6.4,
2192,2012-11-03,,    0.96,     3.9,    12.4,    -1.1,     4.4,
2192,2012-11-04,,    0.96,     4.1,    16.7,     0.9,     7.6,
2192,2012-11-05,,    0.96,     3.8,    18.4,     1.8,     8.1,
2192,2012-11-06,,    0.96,     2.9,    19.4,     0.5,     7.8,
2192,2012-11-07,,    0.96,     4.8,    20.9,    -0.2,     8.6,
2192,2012-11-08,,    0.96,     5.2,    18.2,    -0.2,     8.7,
2192,2012-11-09,,    0.98,    -4.5,     7.7,    -5.5,     1.6,
2192,2012-11-10,,    1.15,    -2.9,     0.6,    -5.9,    -3.2,
2192,2012-11-11,,    1.19,    -5.0,     1.3,    -6.2,    -3.2,
2192,2012-11-12,,    1.20,    -4.2,     1.3,    -9.2,    -2.7,
2192,2012-11-13,,    1.20,    -2.7,     8.5,    -4.2,     1.1,
2192,2012-11-14,,    1.20,     5.2,     9.9,    -3.9,     2.8,
2192,2012-11-15,,    1.20,    -0.8,    11.9,    -1.2,     4.2,
