

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:36 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0951,2012-10-01,,     0.0,     0.0,    -1.1,     1.5,    -0.9,     0.2,       0,
0951,2012-10-02,,     0.0,     0.0,    -3.9,     4.6,    -3.4,    -0.6,       0,
0951,2012-10-03,,     0.0,     0.1,     1.7,     9.0,    -5.7,     0.9,       0,
0951,2012-10-04,,     0.0,     0.1,     4.0,    11.6,    -2.3,     3.9,       0,
0951,2012-10-05,,     0.0,     0.1,     4.0,    13.9,     2.3,     7.3,       0,
0951,2012-10-06,,     0.0,     0.2,     5.5,     8.8,     1.9,     5.3,       0,
0951,2012-10-07,,     0.0,     0.5,     2.4,     5.5,     2.4,     4.2,       0,
0951,2012-10-08,,     0.0,     0.5,     2.9,     6.3,     0.5,     3.2,       0,
0951,2012-10-09,,     0.0,     0.9,    -1.4,     2.9,    -0.7,     1.3,       1,
0951,2012-10-10,,     0.0,     0.9,    -7.8,     2.9,    -7.4,    -2.2,       1,
0951,2012-10-11,,     0.0,     0.9,   -12.0,     2.8,   -12.3,    -6.2,       1,
0951,2012-10-12,,     0.0,     0.9,   -13.3,    -0.8,   -15.2,   -10.0,       1,
0951,2012-10-13,,     0.0,     1.0,    -7.7,    -4.1,   -14.4,    -8.8,       1,
0951,2012-10-14,,     0.0,     1.0,    -7.7,    -3.6,   -13.3,    -8.5,       1,
0951,2012-10-15,,     0.0,     1.0,    -8.3,    -3.4,   -13.0,    -8.7,       1,
0951,2012-10-16,,     0.1,     1.1,    -7.2,    -4.7,    -8.3,    -6.2,       2,
0951,2012-10-17,,     0.4,     1.2,   -10.4,    -5.8,    -8.8,    -7.1,       5,
0951,2012-10-18,,     0.4,     1.2,   -12.2,    -7.4,   -15.9,   -11.6,       4,
0951,2012-10-19,,     0.4,     1.2,   -11.8,    -7.6,   -17.9,   -12.1,       4,
0951,2012-10-20,,     0.4,     1.2,   -10.2,    -4.0,   -14.5,   -10.4,       4,
0951,2012-10-21,,     0.4,     1.2,   -18.2,    -5.5,   -17.9,   -11.3,       4,
0951,2012-10-22,,     0.4,     1.2,   -19.8,    -5.7,   -19.7,   -15.0,       4,
0951,2012-10-23,,     0.4,     1.2,   -19.2,    -7.4,   -20.8,   -16.2,       4,
0951,2012-10-24,,     0.4,     1.2,   -18.6,    -9.6,   -22.7,   -17.9,       4,
0951,2012-10-25,,     0.4,     1.2,   -19.1,    -9.0,   -20.2,   -16.3,       4,
0951,2012-10-26,,     0.4,     1.2,   -13.9,    -7.7,   -19.4,   -14.4,       4,
0951,2012-10-27,,     0.4,     1.2,    -7.6,    -6.7,   -14.1,    -9.7,       4,
0951,2012-10-28,,     0.4,     1.2,    -5.8,    -3.5,    -8.6,    -5.9,       4,
0951,2012-10-29,,     0.4,     1.2,   -12.8,    -5.8,   -13.3,    -9.1,       4,
0951,2012-10-30,,     0.6,     1.3,   -13.2,    -7.3,   -14.1,   -10.4,       6,
0951,2012-10-31,,     0.6,     1.3,   -14.6,    -8.1,   -16.1,   -13.3,       6,
0951,2012-11-01,,     0.6,     1.3,   -15.7,    -8.1,   -16.1,   -13.3,       6,
