

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:35 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0951,2010-10-01,,     0.0,     0.0,     2.4,    11.7,    -4.4,     4.9,       0,
0951,2010-10-02,,     0.0,     0.0,     4.0,    10.8,     0.7,     4.9,       0,
0951,2010-10-03,,     0.0,     0.0,     8.1,    14.2,     0.3,     8.2,       0,
0951,2010-10-04,,     0.0,     0.0,     1.8,    13.3,    -1.7,     4.6,       0,
0951,2010-10-05,,     0.0,     0.3,    -3.2,     8.1,    -3.2,     2.8,       0,
0951,2010-10-06,,     0.0,     0.3,    -6.4,     5.3,    -7.7,    -2.2,       0,
0951,2010-10-07,,     0.0,     0.4,    -1.7,     1.6,    -7.4,    -2.0,       0,
0951,2010-10-08,,     0.0,     0.4,    -1.4,     5.2,    -5.7,    -1.2,       0,
0951,2010-10-09,,     0.0,     0.4,    -6.0,     2.0,    -5.9,    -1.0,       0,
0951,2010-10-10,,     0.0,     0.4,    -9.3,     3.9,    -9.6,    -4.1,       0,
0951,2010-10-11,,     0.0,     0.4,-99.9,    -0.9,    -9.6,    -4.5,       0,
0951,2010-10-12,,     0.0,     0.5,    -9.0,     3.3,   -11.8,    -5.7,       0,
0951,2010-10-13,,     0.0,     0.5,   -10.0,     1.6,   -10.0,    -5.0,       0,
0951,2010-10-14,,     0.0,     0.5,    -6.7,    -3.4,   -11.7,    -6.4,       0,
0951,2010-10-15,,     0.0,     0.5,   -14.5,    -1.8,   -15.8,    -8.9,       0,
0951,2010-10-16,,     0.0,     0.5,   -17.9,    -2.7,   -17.9,   -11.9,       0,
0951,2010-10-17,,     0.0,     0.5,   -15.9,    -1.5,   -19.7,   -13.6,       0,
0951,2010-10-18,,     0.1,     0.5,   -13.2,     1.3,   -16.3,    -8.7,       0,
0951,2010-10-19,,     0.3,     0.8,    -8.3,    -5.1,   -13.3,    -7.8,       3,
0951,2010-10-20,,     0.3,     0.8,    -7.4,     4.4,   -10.2,    -5.1,       2,
0951,2010-10-21,,     0.3,     0.8,    -6.9,     3.1,    -9.4,    -4.8,       2,
0951,2010-10-22,,     0.3,     0.8,    -8.7,     5.7,    -9.4,    -4.8,       2,
0951,2010-10-23,,     0.3,     0.8,    -1.0,     5.4,   -12.3,    -3.7,       2,
0951,2010-10-24,,     0.3,     0.8,    -6.8,     2.3,    -6.8,    -1.8,       2,
0951,2010-10-25,,     0.3,     0.8,   -11.6,    -0.3,   -14.3,    -9.4,       2,
0951,2010-10-26,,     0.3,     0.8,   -12.1,     2.2,   -12.8,    -9.1,       2,
0951,2010-10-27,,     0.3,     0.8,    -8.4,    -1.8,   -13.3,    -6.1,       2,
0951,2010-10-28,,     0.3,     0.8,    -1.9,     3.4,   -11.4,    -6.2,       2,
0951,2010-10-29,,     0.4,     0.9,    -1.7,     4.6,    -5.8,     1.5,       2,
0951,2010-10-30,,     0.5,     1.0,    -4.1,    -1.4,    -5.6,    -3.0,       4,
0951,2010-10-31,,     0.5,     1.0,   -15.4,    -2.9,   -15.4,    -7.5,       4,
0951,2010-11-01,,     0.5,     1.0,   -12.3,    -5.9,   -17.4,   -12.4,       4,
0951,2010-11-02,,     0.5,     1.0,   -14.5,    -3.1,   -15.4,    -9.5,       3,
0951,2010-11-03,,     0.5,     1.0,    -9.8,    -5.0,   -16.1,   -10.2,       3,
0951,2010-11-04,,     0.6,     1.0,     0.6,     2.4,   -12.2,    -6.2,       3,
0951,2010-11-05,,     0.6,     1.1,    -4.5,     0.6,    -5.6,    -3.0,       3,
0951,2010-11-06,,     0.6,     1.1,   -10.0,    -3.5,   -12.1,    -6.9,       3,
0951,2010-11-07,,     0.6,     1.1,   -14.8,    -2.4,   -15.5,    -8.2,       3,
0951,2010-11-08,,     0.6,     1.1,    -9.6,    -9.6,   -19.3,   -13.4,       4,
0951,2010-11-09,,     0.5,     1.1,   -15.4,    -7.4,   -15.6,   -11.8,       4,
0951,2010-11-10,,     0.5,     1.1,   -11.6,    -6.8,   -16.6,    -9.7,       4,
0951,2010-11-11,,     0.5,     1.1,   -15.1,   -10.7,   -17.8,   -13.9,       4,
0951,2010-11-12,,     0.5,     1.1,   -15.9,   -10.6,   -19.7,   -15.6,       4,
0951,2010-11-13,,     0.5,     1.1,   -11.6,   -11.1,   -16.6,   -13.4,       4,
0951,2010-11-14,,     0.6,     1.3,    -7.9,    -5.6,   -11.6,    -7.1,       5,
