

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:25 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
2192,2017-10-01,,    0.00,     6.0,    17.6,     3.5,    10.1,      -3,
2192,2017-10-02,,    0.00,     1.9,    13.0,     1.4,     6.7,      -3,
2192,2017-10-03,,    0.00,     4.6,    11.4,    -3.3,     4.6,      -3,
2192,2017-10-04,,    0.00,     0.4,    13.1,    -0.1,     5.4,      -3,
2192,2017-10-05,,    0.00,     3.3,    15.4,    -3.0,     5.7,      -3,
2192,2017-10-06,,    0.00,     1.6,    16.5,    -2.5,     6.6,      -3,
2192,2017-10-07,,    0.00,     3.8,    20.7,    -1.5,     8.5,      -3,
2192,2017-10-08,,    0.00,     7.3,    23.3,     0.4,    10.7,      -3,
2192,2017-10-09,,    0.00,     3.5,    12.3,     0.4,     6.0,      -3,
2192,2017-10-10,,    0.00,     0.1,    13.2,    -0.5,     5.7,      -3,
2192,2017-10-11,,    0.00,     4.4,    17.5,    -3.0,     7.0,      -3,
2192,2017-10-12,,    0.00,    -2.2,    11.4,    -2.2,     4.7,      -3,
2192,2017-10-13,,    0.00,    -1.9,    11.4,    -7.0,     2.0,      -3,
2192,2017-10-14,,    0.00,    -0.5,    14.6,    -4.3,     3.9,      -3,
2192,2017-10-15,,    0.00,     1.2,     9.9,    -3.8,     3.0,      -3,
2192,2017-10-16,,    0.00,    -0.3,    15.1,    -3.2,     5.5,      -3,
2192,2017-10-17,,    0.00,     2.7,    20.9,    -3.3,     6.9,      -3,
2192,2017-10-18,,    0.00,     2.5,    21.4,    -1.9,     8.5,      -3,
2192,2017-10-19,,    0.00,     3.1,    21.6,    -2.1,     8.0,      -3,
2192,2017-10-20,,    0.23,     1.4,    14.7,     1.2,     8.3,      -3,
2192,2017-10-21,,    0.52,    -3.1,     6.0,    -3.1,     1.2,      -3,
2192,2017-10-22,,    0.52,     2.7,     9.3,    -4.0,     2.9,      -3,
2192,2017-10-23,,    0.52,     3.8,    17.8,    -1.0,     7.2,      -3,
2192,2017-10-24,,    0.52,     8.8,    19.0,     2.0,     9.3,      -3,
2192,2017-10-25,,    0.52,     3.2,    18.6,     3.2,    11.1,      -3,
2192,2017-10-26,,    0.52,     3.2,    21.9,    -0.5,     8.6,      -3,
2192,2017-10-27,,    0.52,     3.3,    21.1,    -0.7,     8.2,      -3,
2192,2017-10-28,,    0.52,     2.8,    20.6,    -0.4,     7.9,      -3,
2192,2017-10-29,,    0.52,     2.8,    20.8,     0.3,     8.4,      -3,
2192,2017-10-30,,    0.52,     3.3,    23.2,    -0.3,     8.9,      -3,
2192,2017-10-31,,    0.52,     2.3,    17.5,     0.6,     7.5,      -3,
2192,2017-11-01,,    0.52,    -0.6,    13.3,    -2.2,     4.2,      -3,
2192,2017-11-02,,    0.52,     4.9,    19.1,    -3.0,     6.4,      -3,
2192,2017-11-03,,    0.52,     5.1,    11.6,     2.6,     6.5,      -3,
2192,2017-11-04,,    0.55,     2.9,     5.9,     2.3,     4.0,      -3,
2192,2017-11-05,,    0.94,     2.9,     5.0,    -0.2,     2.4,      -3,
2192,2017-11-06,,    0.94,     1.5,     6.6,     0.8,     2.6,      -3,
2192,2017-11-07,,    0.95,    -5.1,     5.9,    -5.1,     0.7,      -3,
