

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:24 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
2192,2016-10-01,,    0.00,     6.1,    22.1,     4.9,    12.5,       0,
2192,2016-10-02,,    0.00,    -0.6,    17.4,    -1.7,     7.6,       0,
2192,2016-10-03,,    0.09,    -0.4,    11.9,    -3.7,     1.7,       4,
2192,2016-10-04,,    0.11,     3.9,     5.4,    -1.1,     2.5,       0,
2192,2016-10-05,,    0.11,     0.9,    11.4,     0.9,     5.5,       3,
2192,2016-10-06,,    0.11,     0.8,    13.3,    -2.6,     4.4,       0,
2192,2016-10-07,,    0.11,     1.1,    15.0,    -3.4,     5.3,       0,
2192,2016-10-08,,    0.11,     3.6,    20.0,    -1.9,     8.1,       0,
2192,2016-10-09,,    0.11,     5.4,    23.2,    -0.4,    10.4,       0,
2192,2016-10-10,,    0.11,     6.6,    23.6,     0.7,    11.1,       0,
2192,2016-10-11,,    0.11,     7.3,    21.2,     4.0,    11.8,       0,
2192,2016-10-12,,    0.11,     2.9,    20.8,     0.1,     9.5,       0,
2192,2016-10-13,,    0.11,     7.8,    21.1,    -0.8,     9.1,       0,
2192,2016-10-14,,    0.11,     9.2,    17.9,     7.8,    11.8,       0,
2192,2016-10-15,,    1.53,     6.3,    10.3,     5.3,     7.6,       0,
2192,2016-10-16,,    2.16,     4.2,    11.7,     3.6,     6.8,       3,
2192,2016-10-17,,    2.68,     2.2,    10.2,     2.1,     5.4,       0,
2192,2016-10-18,,    2.70,     3.6,     9.5,     2.2,     4.9,       2,
2192,2016-10-19,,    2.72,    -2.1,    10.6,    -2.2,     4.2,       3,
2192,2016-10-20,,    2.72,     0.5,    11.6,    -3.7,     3.4,       0,
2192,2016-10-21,,    2.72,     1.6,    17.2,    -2.6,     5.7,       0,
2192,2016-10-22,,    2.72,     4.3,    18.9,    -0.7,     7.2,       0,
2192,2016-10-23,,    2.72,     0.7,    18.0,    -1.6,     6.3,       0,
2192,2016-10-24,,    2.72,    10.7,    17.5,    -2.1,     8.2,       0,
2192,2016-10-25,,    2.73,     7.2,    11.3,     6.5,     8.9,       0,
2192,2016-10-26,,    2.73,     9.0,    10.1,     4.5,     8.4,       0,
2192,2016-10-27,,    2.73,     8.8,    16.2,     6.4,    11.2,       0,
2192,2016-10-28,,    2.73,     7.3,    11.1,     7.1,     9.3,       3,
2192,2016-10-29,,    3.07,     6.5,     8.0,     6.0,     6.8,       2,
2192,2016-10-30,,    3.12,     4.7,    13.2,     4.7,     8.5,       0,
2192,2016-10-31,,    3.54,     3.1,    11.1,     1.5,     5.1,       0,
2192,2016-11-01,,    3.68,     0.3,     7.1,     0.1,     3.2,       7,
2192,2016-11-02,,    3.85,    -2.6,     6.0,    -2.6,     1.5,       0,
2192,2016-11-03,,    3.85,    -1.0,    10.8,    -3.7,     1.9,       0,
2192,2016-11-04,,    3.85,    -0.7,    12.9,    -1.7,     3.3,       0,
2192,2016-11-05,,    3.85,    -0.4,    15.3,    -2.3,     4.1,       2,
2192,2016-11-06,,    3.85,     3.1,    16.2,    -3.1,     4.8,       0,
2192,2016-11-07,,    3.85,     3.9,    12.2,     2.3,     7.0,       0,
2192,2016-11-08,,    3.85,     5.2,    14.8,     1.4,     7.6,       1,
2192,2016-11-09,,    3.85,     3.0,    19.2,     2.5,     8.7,       0,
2192,2016-11-10,,    3.85,     2.4,    18.6,    -1.3,     6.7,       0,
2192,2016-11-11,,    3.85,     1.5,    18.3,    -1.0,     6.0,       0,
2192,2016-11-12,,    3.85,    11.8,    16.4,    -0.6,     7.5,       0,
2192,2016-11-13,,    3.85,     0.4,    12.4,     0.4,     7.7,       1,
2192,2016-11-14,,    3.85,     4.2,    15.9,    -0.2,     5.3,       0,
2192,2016-11-15,,    3.85,     6.3,    17.3,     0.4,     8.5,       0,
2192,2016-11-16,,    3.85,     3.1,    11.9,     3.1,     6.8,       0,
2192,2016-11-17,,    3.85,    -5.4,     4.4,    -5.6,    -0.1,       0,
2192,2016-11-18,,    3.85,    -2.9,     4.1,    -8.4,    -2.8,       0,
2192,2016-11-19,,    3.85,     4.9,     7.1,    -4.2,     1.1,       0,
2192,2016-11-20,,    3.96,     4.1,     6.8,     0.2,     3.2,       0,
2192,2016-11-21,,    3.96,     0.1,     6.8,    -0.5,     3.5,       0,
