

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:23 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
2192,2014-10-01,,    0.00,     2.2,    16.5,     2.2,    10.2,-99.9,
2192,2014-10-02,,    0.00,     1.6,    15.4,    -1.7,     6.5,-99.9,
2192,2014-10-03,,    0.00,     4.7,    21.7,    -1.8,     9.2,-99.9,
2192,2014-10-04,,    0.00,     6.3,    23.9,     0.5,    11.5,-99.9,
2192,2014-10-05,,    0.00,     6.3,    26.4,     1.5,    12.6,-99.9,
2192,2014-10-06,,    0.00,     6.9,    25.2,     1.7,    12.8,-99.9,
2192,2014-10-07,,    0.00,     7.0,    27.9,     2.4,    13.5,-99.9,
2192,2014-10-08,,    0.00,     7.1,    28.1,     2.6,    13.7,-99.9,
2192,2014-10-09,,    0.00,     6.9,    23.0,     1.7,    12.0,-99.9,
2192,2014-10-10,,    0.00,     6.7,    22.4,     1.8,    11.6,-99.9,
2192,2014-10-11,,    0.00,     6.5,    22.8,     2.1,    11.6,-99.9,
2192,2014-10-12,,    0.00,     4.4,    23.0,     2.7,    11.7,-99.9,
2192,2014-10-13,,    0.00,     2.6,    17.4,    -0.8,     7.8,-99.9,
2192,2014-10-14,,    0.00,    15.6,    23.8,    -0.4,    11.6,-99.9,
2192,2014-10-15,,    0.00,     9.1,    21.0,     6.3,    13.6,-99.9,
2192,2014-10-16,,    0.26,     2.1,    12.0,     1.9,     6.8,-99.9,
2192,2014-10-17,,    0.26,     8.5,    16.1,     1.3,     8.6,-99.9,
2192,2014-10-18,,    0.26,     5.3,    14.1,     3.3,     8.4,-99.9,
2192,2014-10-19,,    0.26,     2.1,    17.5,    -1.0,     7.0,-99.9,
2192,2014-10-20,,    0.26,     5.4,    20.2,    -0.9,     9.1,-99.9,
2192,2014-10-21,,    0.37,     2.0,    17.0,     1.9,     8.4,-99.9,
2192,2014-10-22,,    0.37,     0.3,    10.5,    -0.8,     4.2,-99.9,
2192,2014-10-23,,    0.38,     8.1,    16.6,    -0.9,     7.0,-99.9,
2192,2014-10-24,,    0.42,     2.3,    13.0,     2.3,     7.8,-99.9,
2192,2014-10-25,,    0.42,    10.3,    19.6,    -0.8,     9.3,-99.9,
2192,2014-10-26,,    0.65,     1.2,    11.9,     1.2,     7.4,-99.9,
2192,2014-10-27,,    0.69,    -1.5,     8.1,    -1.9,     2.4,-99.9,
2192,2014-10-28,,    0.69,    -2.0,     9.5,    -4.5,     1.6,-99.9,
2192,2014-10-29,,    0.69,     3.9,    16.1,    -3.3,     5.3,-99.9,
2192,2014-10-30,,    0.69,     3.4,    18.2,    -0.1,     7.7,-99.9,
2192,2014-10-31,,    0.69,    10.9,    16.8,     0.5,     8.6,-99.9,
2192,2014-11-01,,    0.94,     2.6,    10.9,     2.6,     6.7,-99.9,
2192,2014-11-02,,    0.97,    -2.2,     5.0,    -2.5,     2.1,-99.9,
2192,2014-11-03,,    0.97,    -4.1,     5.2,    -4.1,     0.1,-99.9,
2192,2014-11-04,,    0.97,    -2.2,     8.3,    -5.9,     0.2,-99.9,
2192,2014-11-05,,    0.97,     1.3,    13.6,    -2.2,     4.4,-99.9,
2192,2014-11-06,,    0.97,     2.9,    14.1,    -2.6,     4.8,-99.9,
2192,2014-11-07,,    0.97,     2.8,    18.1,     0.3,     7.9,-99.9,
2192,2014-11-08,,    0.97,     1.4,    16.9,    -1.0,     6.4,-99.9,
2192,2014-11-09,,    0.97,     2.1,    17.5,    -1.5,     6.1,-99.9,
2192,2014-11-10,,    0.97,     2.0,    19.1,    -1.8,     6.8,-99.9,
2192,2014-11-11,,    0.97,    -2.6,    11.4,    -2.6,     3.5,-99.9,
2192,2014-11-12,,    0.97,     2.2,    12.2,    -5.3,     2.3,-99.9,
2192,2014-11-13,,    0.97,     1.9,     6.4,     0.7,     3.3,-99.9,
2192,2014-11-14,,    1.07,     1.9,    10.4,    -0.5,     3.5,-99.9,
2192,2014-11-15,,    1.07,     4.0,    10.5,     0.9,     5.0,-99.9,
2192,2014-11-16,,    1.08,    -6.0,     9.2,    -6.1,     2.1,-99.9,
2192,2014-11-17,,    1.08,    -7.4,     1.3,   -10.1,    -4.7,-99.9,
2192,2014-11-18,,    1.08,    -6.1,     4.5,   -12.4,    -4.1,-99.9,
2192,2014-11-19,,    1.08,    -1.8,     6.2,    -9.8,    -1.4,-99.9,
2192,2014-11-20,,    1.13,     3.8,     8.8,    -2.7,     1.6,-99.9,
2192,2014-11-21,,    1.21,    -0.2,     7.3,    -0.4,     2.5,-99.9,
2192,2014-11-22,,    1.23,     3.8,     4.4,    -0.2,     2.4,-99.9,
2192,2014-11-23,,    1.29,    -1.8,     8.6,    -1.8,     3.7,-99.9,
2192,2014-11-24,,    1.29,    -5.7,     2.5,    -5.7,    -2.6,-99.9,
2192,2014-11-25,,    1.29,    -3.8,     7.6,    -7.5,    -1.5,-99.9,
2192,2014-11-26,,    1.29,    -1.8,    12.7,    -5.5,     1.7,-99.9,
2192,2014-11-27,,    1.29,     3.2,    13.8,    -4.5,     3.1,-99.9,
2192,2014-11-28,,    1.29,     0.7,    14.8,    -0.2,     5.6,-99.9,
2192,2014-11-29,,    1.68,     0.1,    12.4,    -0.3,     4.2,-99.9,
2192,2014-11-30,,    1.90,     1.3,     6.5,    -0.3,     2.6,-99.9,
2192,2014-12-01,,    2.15,    -0.2,     3.7,    -0.3,     1.1,-99.9,
2192,2014-12-02,,    2.24,    -1.2,     6.8,    -1.8,     1.1,-99.9,
2192,2014-12-03,,    3.00,    -1.8,     1.1,    -1.8,    -0.4,-99.9,
2192,2014-12-04,,    3.82,     3.0,     3.2,    -1.8,     0.9,-99.9,
2192,2014-12-05,,    4.02,     0.2,     4.6,     0.2,     2.2,-99.9,
2192,2014-12-06,,    4.11,     3.0,     6.1,    -1.2,     2.9,-99.9,
2192,2014-12-07,,    4.31,    -2.2,     7.5,    -2.2,     2.8,-99.9,
2192,2014-12-08,,    4.31,    -1.1,     5.8,    -3.3,     0.7,-99.9,
2192,2014-12-09,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2192,2014-12-10,,    4.32,-99.9,     8.3,    -1.3,     2.6,       0,
2192,2014-12-11,,-99.9,     2.9,-99.9,-99.9,-99.9,       0,
2192,2014-12-12,,-99.9,    -1.8,-99.9,-99.9,-99.9,       3,
2192,2014-12-13,,    5.85,    -2.8,     2.0,    -2.8,    -1.2,       1,
2192,2014-12-14,,    5.87,    -4.7,     0.5,    -5.1,    -2.5,       1,
2192,2014-12-15,,    5.87,    -2.3,     0.3,    -5.5,    -2.8,       1,
2192,2014-12-16,,    6.07,    -1.9,    -0.8,    -2.6,    -1.8,       3,
2192,2014-12-17,,    6.21,    -1.4,     0.7,    -2.3,    -1.2,       2,
2192,2014-12-18,,    6.21,    -1.7,     4.7,    -2.1,     0.0,       1,
2192,2014-12-19,,    6.21,     0.5,     2.5,    -3.1,    -0.5,       1,
2192,2014-12-20,,    6.48,     0.8,     3.2,    -1.6,     0.1,       1,
2192,2014-12-21,,    6.51,     3.4,     3.4,     0.4,     2.0,       0,
2192,2014-12-22,,    6.51,     1.2,    10.2,     1.2,     5.8,       0,
2192,2014-12-23,,    6.51,    -0.9,     9.6,    -0.9,     3.2,       0,
2192,2014-12-24,,    6.51,    -1.4,     4.4,    -1.8,     0.3,       0,
2192,2014-12-25,,    6.65,    -5.2,     5.3,    -5.4,    -1.1,       1,
2192,2014-12-26,,    6.71,    -6.3,    -0.5,    -6.3,    -3.5,       0,
2192,2014-12-27,,    6.71,    -9.0,    -0.7,    -9.0,    -4.5,       0,
2192,2014-12-28,,    6.71,    -0.7,     1.3,   -10.9,    -5.1,       1,
2192,2014-12-29,,    6.71,    -5.1,     6.0,    -5.1,    -0.2,       1,
2192,2014-12-30,,    6.71,    -7.8,     0.8,    -8.0,    -4.3,       1,
2192,2014-12-31,,    6.72,   -12.6,    -3.5,   -12.6,    -7.7,       0,
2192,2015-01-01,,    6.72,   -11.9,    -0.9,   -14.5,    -8.6,       0,
2192,2015-01-02,,    6.72,    -9.9,     0.4,   -13.9,    -7.4,       0,
2192,2015-01-03,,    6.72,    -7.4,     2.7,   -12.6,    -6.5,       2,
2192,2015-01-04,,    6.72,    -5.3,     6.2,    -9.0,    -3.4,       0,
2192,2015-01-05,,    6.72,    -3.1,     9.7,    -5.4,     0.3,       0,
2192,2015-01-06,,    6.72,    -2.3,     7.7,    -4.5,    -0.2,       2,
2192,2015-01-07,,    6.72,    -3.0,    10.0,    -4.2,     1.2,       1,
2192,2015-01-08,,    6.72,    -3.9,    10.5,    -5.7,    -0.4,       2,
2192,2015-01-09,,    6.72,    -3.2,     8.6,    -5.8,    -1.1,       2,
2192,2015-01-10,,    6.72,    -1.8,     4.7,    -4.9,    -1.1,       0,
2192,2015-01-11,,    6.72,    -0.2,     7.3,    -3.3,     0.9,       0,
2192,2015-01-12,,    6.72,     0.0,     9.0,    -4.1,     2.0,       0,
2192,2015-01-13,,    6.72,    -3.5,     5.6,    -3.6,     1.4,       0,
2192,2015-01-14,,    6.73,    -5.3,     3.8,    -5.8,    -2.0,       0,
2192,2015-01-15,,    6.73,    -4.5,     3.7,    -6.8,    -2.1,       0,
2192,2015-01-16,,    6.73,     0.1,     3.2,    -5.8,    -1.7,       0,
2192,2015-01-17,,    6.73,     0.7,     6.2,     0.1,     3.0,       0,
2192,2015-01-18,,    6.73,     6.0,     8.9,     0.3,     4.2,       0,
2192,2015-01-19,,    6.73,     2.0,     9.8,     1.6,     6.0,       0,
2192,2015-01-20,,    6.73,    -3.8,     7.6,    -3.8,     1.1,       0,
2192,2015-01-21,,    6.73,    -3.1,     5.6,    -5.9,    -0.9,       0,
2192,2015-01-22,,    6.73,    -3.7,     4.9,    -5.8,    -1.7,       0,
2192,2015-01-23,,    6.73,    -4.6,     5.7,    -7.1,    -2.0,       0,
2192,2015-01-24,,    6.73,    -2.1,     9.5,    -6.8,     0.0,       0,
2192,2015-01-25,,    6.73,    -1.6,    11.5,    -5.0,     1.4,       0,
2192,2015-01-26,,    6.73,     5.3,    12.8,    -3.9,     3.6,       0,
2192,2015-01-27,,    6.73,     0.8,    13.7,    -2.3,     4.1,       0,
2192,2015-01-28,,    6.73,    -0.9,     6.6,    -1.2,     2.9,       0,
2192,2015-01-29,,    6.73,    -2.8,    10.5,    -4.4,     1.0,       0,
2192,2015-01-30,,    6.73,    -2.0,     9.7,    -4.5,     1.6,       0,
2192,2015-01-31,,    6.73,    -2.4,    10.3,    -4.4,     1.1,       0,
2192,2015-02-01,,    6.73,    -4.3,    10.1,    -7.4,    -0.2,       0,
