

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:38 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0951,2015-10-01,,     0.7,     0.0,    -1.4,    -1.2,    -2.5,    -1.9,       6,
0951,2015-10-02,,     0.7,     0.1,    -5.4,     1.3,    -5.7,    -2.4,       5,
0951,2015-10-03,,     0.7,     0.1,     1.1,     3.4,    -5.9,    -1.0,       3,
0951,2015-10-04,,     0.7,     0.3,     0.7,     3.0,    -0.8,     1.0,       3,
0951,2015-10-05,,     0.7,     0.5,     2.4,     3.1,     0.7,     1.7,       2,
0951,2015-10-06,,     0.7,     0.5,    -2.3,     8.2,    -2.3,     2.3,       2,
0951,2015-10-07,,     0.7,     0.5,    -4.2,     8.1,    -5.7,    -0.6,       2,
0951,2015-10-08,,     0.7,     0.5,    -3.6,     4.8,    -7.5,    -1.9,       2,
0951,2015-10-09,,     0.7,     0.5,    -1.3,     6.8,    -5.6,    -1.0,       2,
0951,2015-10-10,,     0.7,     0.5,    -1.8,     2.5,    -6.6,    -1.7,       2,
0951,2015-10-11,,     0.7,     0.5,    -9.1,    -1.3,    -8.3,    -4.2,       1,
0951,2015-10-12,,     0.7,     0.5,    -8.7,     4.2,    -9.5,    -4.7,       2,
0951,2015-10-13,,     0.7,     0.6,    -1.3,     0.9,   -11.2,    -4.6,       2,
0951,2015-10-14,,     0.8,     0.6,    -1.6,     1.6,    -1.7,    -0.6,       2,
0951,2015-10-15,,     0.8,     0.6,    -5.5,     3.4,    -5.0,    -1.5,       3,
0951,2015-10-16,,     0.8,     0.6,    -8.1,     7.0,    -7.9,    -3.3,       3,
0951,2015-10-17,,     0.8,     0.6,    -0.7,     1.7,    -9.0,    -3.7,       2,
0951,2015-10-18,,     1.1,     0.9,    -0.7,     1.2,    -1.5,    -0.2,       4,
