

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:22 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
2192,2013-10-01,,    0.00,     7.9,    17.4,     7.1,    11.7,
2192,2013-10-02,,    0.00,     4.2,    18.9,     4.2,    10.3,
2192,2013-10-03,,    0.00,     0.4,    18.7,     0.1,     7.6,
2192,2013-10-04,,    0.00,     2.3,    11.0,    -1.6,     4.1,
2192,2013-10-05,,    0.00,     0.9,    12.7,    -2.5,     5.6,
2192,2013-10-06,,    0.00,     3.4,    17.3,    -1.5,     7.3,
2192,2013-10-07,,    0.00,     3.6,    22.7,    -1.5,     9.2,
2192,2013-10-08,,    0.00,     2.7,    20.6,    -1.3,     8.6,
2192,2013-10-09,,    0.00,     5.1,    13.6,    -2.6,     6.0,
2192,2013-10-10,,    0.02,     0.9,     8.9,     0.7,     4.2,
2192,2013-10-11,,    0.02,     2.1,    15.3,    -0.4,     6.0,
2192,2013-10-12,,    0.02,     1.7,    16.4,    -2.7,     6.5,
2192,2013-10-13,,    0.13,     2.7,    15.7,    -2.1,     5.0,
2192,2013-10-14,,    0.13,    -1.4,    10.7,    -1.4,     4.2,
2192,2013-10-15,,    0.13,    -0.5,    12.5,    -3.7,     3.4,
2192,2013-10-16,,    0.13,    -1.3,    12.9,    -3.4,     4.1,
2192,2013-10-17,,    0.13,     0.3,    17.4,    -4.2,     5.2,
2192,2013-10-18,,    0.13,     0.9,    18.5,    -3.4,     6.3,
2192,2013-10-19,,    0.13,     0.9,    17.8,    -2.4,     6.7,
2192,2013-10-20,,    0.13,     3.0,    20.8,    -2.5,     7.7,
2192,2013-10-21,,    0.13,     2.8,    21.0,    -1.3,     8.2,
2192,2013-10-22,,    0.13,     2.7,    20.1,    -0.5,     8.4,
2192,2013-10-23,,    0.13,     2.3,    21.1,    -0.9,     8.3,
2192,2013-10-24,,    0.13,     3.1,    21.4,    -1.8,     8.0,
2192,2013-10-25,,    0.13,     1.8,    21.6,    -1.7,     8.2,
2192,2013-10-26,,    0.13,     0.7,    20.5,    -2.9,     7.1,
2192,2013-10-27,,    0.13,     1.3,    20.1,    -3.0,     6.7,
2192,2013-10-28,,    0.13,     0.3,    17.9,    -2.6,     4.8,
2192,2013-10-29,,    0.37,    -0.4,     3.4,    -0.4,     1.0,
2192,2013-10-30,,    0.40,     1.3,     4.1,    -1.2,     1.2,
2192,2013-10-31,,    0.40,    -1.9,     7.5,    -1.9,     2.7,
