

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:42 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0909,2009-10-01,,     0.0,     0.0,     1.7,     4.1,     0.8,     1.9,       0,
0909,2009-10-02,,     0.0,     0.3,     2.7,     5.8,     1.1,     3.5,       0,
0909,2009-10-03,,     0.0,     0.5,     0.3,     4.3,     0.3,     2.1,       0,
0909,2009-10-04,,     0.0,     0.6,     4.8,     7.5,    -0.8,     2.8,       0,
0909,2009-10-05,,     0.0,     0.6,     4.0,    10.6,     3.1,     6.2,       0,
0909,2009-10-06,,     0.0,     0.6,     4.5,    11.8,     2.5,     6.2,       0,
0909,2009-10-07,,     0.0,     0.6,     4.4,    10.6,     3.1,     6.2,       0,
0909,2009-10-08,,     0.0,     0.6,     4.0,    11.2,     3.7,     6.7,       0,
0909,2009-10-09,,     0.0,     0.6,     4.0,    10.9,     3.4,     5.8,       0,
0909,2009-10-10,,     0.0,     0.6,     3.0,     8.6,     1.5,     4.6,       0,
0909,2009-10-11,,     0.0,     0.6,    -0.4,     7.2,    -0.4,     2.9,       0,
0909,2009-10-12,,     0.0,     0.6,    -0.5,     5.7,    -1.8,     1.2,       0,
0909,2009-10-13,,     0.0,     0.6,     0.3,     6.2,    -1.6,     1.2,       0,
0909,2009-10-14,,     0.0,     0.8,     3.8,     9.1,     0.1,     4.0,       1,
0909,2009-10-15,,     0.0,     1.6,     3.4,     7.2,     2.9,     4.8,       0,
0909,2009-10-16,,     0.0,     1.8,     6.9,     9.7,     2.7,     6.2,       0,
0909,2009-10-17,,     0.0,     2.9,     8.9,    11.9,     6.9,     9.7,       1,
0909,2009-10-18,,     0.0,     5.8,     5.2,    10.7,     4.7,     8.0,       0,
0909,2009-10-19,,     0.0,     6.0,     4.6,     7.9,     4.4,     5.9,       0,
0909,2009-10-20,,     0.0,     6.0,     4.8,     8.7,     3.7,     5.6,       0,
0909,2009-10-21,,     0.0,     6.0,     6.9,     8.0,     1.5,     5.0,       0,
0909,2009-10-22,,     0.0,     6.4,     2.4,     7.2,     1.6,     4.7,       0,
0909,2009-10-23,,     0.0,     6.5,     3.6,     5.9,     1.7,     3.9,       0,
0909,2009-10-24,,     0.0,     7.8,     2.3,     8.1,     2.2,     5.1,       1,
0909,2009-10-25,,     0.0,     7.8,    -0.4,     5.0,    -0.9,     1.7,       1,
0909,2009-10-26,,     0.0,     8.6,     3.5,     5.3,    -0.8,     2.4,       0,
0909,2009-10-27,,     0.5,    10.1,    -0.5,     4.2,    -0.6,     1.5,       2,
0909,2009-10-28,,     0.5,    10.3,    -2.1,     3.1,    -2.3,     0.0,       5,
0909,2009-10-29,,     0.7,    10.5,    -1.1,     1.1,    -2.7,    -0.9,       6,
0909,2009-10-30,,     0.9,    10.9,     6.8,     7.9,    -1.2,     2.5,       4,
0909,2009-10-31,,     0.1,    12.3,     6.0,     8.3,     5.8,     6.9,       0,
0909,2009-11-01,,     0.0,    12.9,     0.0,     6.2,    -0.2,     2.4,       0,
0909,2009-11-02,,     0.0,    12.9,    -0.2,     3.9,    -0.4,     0.8,       0,
0909,2009-11-03,,     0.1,    13.2,     0.6,     6.0,    -0.1,     1.9,       0,
0909,2009-11-04,,     0.2,    13.2,     6.7,     7.2,    -1.3,     2.4,       0,
0909,2009-11-05,,     0.1,    13.4,     9.8,    12.1,     5.7,     9.3,       0,
0909,2009-11-06,,     0.0,    14.9,     1.2,    10.5,     1.2,     5.7,       0,
0909,2009-11-07,,     0.9,    15.9,    -0.1,     1.7,    -0.3,     0.5,      10,
0909,2009-11-08,,     1.7,    16.7,    -0.9,     1.9,    -1.3,    -0.1,      14,
0909,2009-11-09,,     1.8,    16.9,     1.3,     3.5,    -2.4,     0.4,      14,
0909,2009-11-10,,     2.4,    17.7,     0.9,     2.3,     0.9,     1.4,      12,
0909,2009-11-11,,     3.5,    18.7,    -0.1,     1.5,    -0.6,     0.3,      24,
0909,2009-11-12,,     3.6,    19.0,    -3.0,     2.4,    -3.2,    -0.8,      23,
0909,2009-11-13,,     3.6,    19.0,    -1.5,     3.3,    -4.2,    -1.9,      21,
0909,2009-11-14,,     4.2,    19.7,    -5.4,     0.0,    -5.4,    -2.3,      26,
0909,2009-11-15,,     4.3,    19.8,    -1.6,    -0.3,    -6.2,    -3.4,      24,
0909,2009-11-16,,     4.9,    20.8,     3.9,     4.2,    -2.3,     1.2,      24,
0909,2009-11-17,,     5.3,    23.4,     3.7,     4.5,     0.9,     3.1,      22,
0909,2009-11-18,,     6.3,    25.0,    -1.9,     3.9,    -2.1,    -0.1,      33,
0909,2009-11-19,,     7.7,    26.1,     0.5,     0.5,    -3.3,    -1.6,      40,
0909,2009-11-20,,     9.1,    28.2,     1.9,     2.5,     0.1,     1.1,      42,
0909,2009-11-21,,     9.7,    29.6,    -0.7,     2.4,    -1.3,     1.1,      40,
0909,2009-11-22,,    10.6,    30.5,    -0.3,     0.5,    -4.1,    -1.1,      46,
0909,2009-11-23,,    11.6,    31.4,    -0.4,     1.8,    -0.8,     0.0,      49,
0909,2009-11-24,,    11.8,    31.6,     1.2,     1.6,    -2.8,    -0.1,      49,
0909,2009-11-25,,    11.8,    31.7,     5.3,     5.5,     0.4,     2.9,      46,
0909,2009-11-26,,    11.9,    32.7,     4.5,     7.8,     4.0,     5.3,      41,
0909,2009-11-27,,    11.6,    33.3,    -0.1,     4.5,    -0.3,     2.0,      37,
0909,2009-11-28,,    11.5,    33.3,    -1.2,     2.3,    -2.2,    -0.7,      36,
0909,2009-11-29,,    11.8,    33.8,     1.6,     1.8,    -1.8,     0.6,      39,
0909,2009-11-30,,    11.7,    34.1,     3.1,     4.5,     1.1,     3.2,      36,
0909,2009-12-01,,    11.7,    34.4,    -0.7,     3.6,    -0.8,     2.0,      36,
0909,2009-12-02,,    11.6,    34.4,    -3.3,    -0.4,    -4.3,    -2.6,      35,
0909,2009-12-03,,    11.7,    34.4,     2.2,     6.9,    -4.0,     2.4,      34,
0909,2009-12-04,,    11.7,    34.4,    -0.1,     6.0,    -0.4,     2.2,      35,
0909,2009-12-05,,    11.7,    34.4,    -3.2,     0.2,    -3.9,    -2.4,      35,
0909,2009-12-06,,    11.7,    34.4,    -6.5,    -2.3,    -7.0,    -4.2,      34,
0909,2009-12-07,,    11.7,    34.7,   -11.7,    -5.9,   -11.7,    -7.9,      35,
0909,2009-12-08,,    11.9,    34.7,   -11.3,    -8.0,   -13.7,   -10.8,      34,
0909,2009-12-09,,    12.1,    34.7,   -10.7,    -7.1,   -13.0,   -11.0,      34,
0909,2009-12-10,,    12.1,    34.7,    -8.1,    -6.8,   -13.2,    -9.8,      34,
0909,2009-12-11,,    11.4,    34.7,    -9.3,    -4.4,    -9.7,    -7.8,      34,
0909,2009-12-12,,    10.6,    34.7,    -8.4,    -4.8,   -10.6,    -8.1,      34,
0909,2009-12-13,,    11.0,    34.7,    -6.0,    -3.2,    -8.4,    -6.1,      34,
0909,2009-12-14,,    10.9,    34.7,    -5.2,    -4.4,    -7.4,    -5.7,      33,
0909,2009-12-15,,    11.9,    34.7,     0.1,     0.2,    -7.0,    -3.5,      39,
0909,2009-12-16,,    11.5,    35.3,     1.9,     2.6,    -0.8,     1.3,      39,
0909,2009-12-17,,    11.4,    36.1,     1.2,     2.4,     1.1,     1.5,      40,
0909,2009-12-18,,    11.7,    36.1,     2.4,     3.1,     0.1,     1.7,      39,
0909,2009-12-19,,    11.9,    36.2,     3.0,     5.3,     1.8,     3.5,      39,
0909,2009-12-20,,    12.1,    36.2,     3.4,     4.9,     2.0,     3.2,      37,
0909,2009-12-21,,    12.3,    36.9,     3.1,     5.3,     3.1,     4.3,      37,
0909,2009-12-22,,    13.0,    38.2,    -3.6,     3.3,    -3.9,     0.3,      40,
0909,2009-12-23,,    13.0,    38.2,    -4.7,    -1.4,    -5.9,    -4.1,      43,
0909,2009-12-24,,    13.1,    38.2,    -4.0,    -0.7,    -5.5,    -3.6,      42,
0909,2009-12-25,,    13.3,    38.2,    -0.6,    -0.1,    -4.0,    -1.7,      41,
0909,2009-12-26,,    13.5,    38.2,     5.3,     6.0,    -0.8,     2.9,      40,
0909,2009-12-27,,    13.5,    38.2,     1.8,     7.2,     1.4,     4.5,      39,
0909,2009-12-28,,    13.5,    38.2,    -0.5,     4.0,    -0.6,     1.2,      40,
0909,2009-12-29,,    13.9,    38.2,     0.0,     1.8,    -1.6,     0.0,      39,
0909,2009-12-30,,    14.0,    38.2,    -1.0,     3.1,    -1.3,     0.4,      40,
0909,2009-12-31,,    14.4,    38.5,    -0.8,     0.5,    -1.7,    -0.7,      45,
0909,2010-01-01,,    15.1,    38.8,     2.2,     2.7,    -2.8,    -0.6,      46,
0909,2010-01-02,,    16.0,    39.9,     0.8,     3.2,     0.5,     1.7,      50,
0909,2010-01-03,,    16.6,    40.4,    -0.7,     2.4,    -0.9,     0.7,      52,
0909,2010-01-04,,    17.1,    40.5,     1.2,     2.2,    -1.6,     0.4,      52,
0909,2010-01-05,,    16.7,    40.9,     2.4,     3.3,     1.1,     2.2,      50,
0909,2010-01-06,,    16.3,    41.1,    -2.3,     4.2,    -2.4,     2.0,      48,
0909,2010-01-07,,    16.6,    41.1,     0.4,     4.9,    -3.8,     0.5,      47,
0909,2010-01-08,,    16.8,    41.1,     4.6,     9.3,    -0.4,     4.5,      47,
0909,2010-01-09,,    16.3,    41.9,     3.5,     7.2,     3.3,     4.8,      45,
0909,2010-01-10,,    15.9,    41.9,     5.7,     6.5,     2.8,     4.3,      44,
0909,2010-01-11,,    16.3,    42.3,     4.3,     8.6,     3.5,     6.1,      43,
0909,2010-01-12,,    15.2,    44.1,     4.1,     7.2,     3.4,     4.5,      41,
0909,2010-01-13,,    14.7,    44.8,     1.4,     4.7,     1.4,     2.9,      41,
0909,2010-01-14,,    14.6,    45.0,     1.3,     3.7,     0.9,     2.4,      41,
0909,2010-01-15,,    15.5,    45.7,     1.9,     2.4,     0.5,     1.2,      44,
0909,2010-01-16,,    16.2,    46.4,    -1.6,     2.3,    -1.7,     0.8,      45,
0909,2010-01-17,,    16.5,    46.4,     1.1,     1.6,    -3.4,    -0.8,      44,
0909,2010-01-18,,    17.1,    46.4,     1.8,     3.4,     0.5,     1.9,      47,
0909,2010-01-19,,    17.4,    46.9,     2.2,     3.0,    -0.4,     1.2,      48,
0909,2010-01-20,,    17.4,    47.0,     1.5,     5.5,     1.5,     3.0,      48,
0909,2010-01-21,,    17.6,    47.1,     1.8,     6.1,     1.2,     2.6,      49,
0909,2010-01-22,,    17.5,    47.1,     0.5,     5.4,     0.5,     3.0,      49,
0909,2010-01-23,,    17.3,    47.1,    -1.0,     6.6,    -1.1,     1.9,      49,
0909,2010-01-24,,    17.4,    47.1,    -1.7,     2.4,    -1.8,    -0.2,      48,
0909,2010-01-25,,    18.0,    47.5,     0.9,     3.8,    -1.7,     0.6,      52,
0909,2010-01-26,,    18.2,    47.6,    -0.5,     2.3,    -0.6,     1.0,      53,
0909,2010-01-27,,    18.1,    47.6,    -0.6,     3.4,    -1.4,     0.2,      52,
0909,2010-01-28,,    18.3,    47.7,     0.3,     3.7,    -2.6,     0.0,      52,
0909,2010-01-29,,    18.4,    47.7,     5.1,     5.5,     0.1,     2.9,      51,
0909,2010-01-30,,    18.5,    47.8,     2.8,     9.8,     2.7,     5.7,      50,
0909,2010-01-31,,    18.5,    48.0,     1.1,     2.8,     1.1,     1.7,      50,
0909,2010-02-01,,    18.8,    48.2,    -0.5,     2.3,    -0.6,     1.1,      51,
0909,2010-02-02,,    19.0,    48.3,     0.5,     2.5,    -1.4,     0.3,      50,
0909,2010-02-03,,    19.2,    48.3,     0.5,     3.9,    -0.3,     1.2,      50,
0909,2010-02-04,,    19.2,    48.3,     1.1,     5.3,    -0.6,     1.5,      51,
0909,2010-02-05,,    19.3,    48.4,     3.4,     5.4,    -0.1,     2.5,      50,
0909,2010-02-06,,    19.4,    48.4,     3.2,     4.7,     0.0,     1.8,      52,
0909,2010-02-07,,    19.3,    48.7,     2.4,     8.0,     1.2,     3.8,      51,
0909,2010-02-08,,    19.6,    48.8,     1.1,     3.4,     0.6,     1.7,      52,
0909,2010-02-09,,    19.7,    48.8,    -1.1,     5.8,    -1.3,     0.7,      52,
0909,2010-02-10,,    19.9,    48.8,    -1.5,     3.4,    -2.3,    -0.1,      52,
0909,2010-02-11,,    20.0,    48.8,     0.2,     2.3,    -2.2,     0.0,      52,
0909,2010-02-12,,    19.8,    49.2,     2.4,     4.0,     0.0,     2.1,      53,
0909,2010-02-13,,    19.4,    49.7,     0.8,     2.8,     0.7,     1.4,      55,
0909,2010-02-14,,    20.2,    50.2,     3.3,     4.1,    -0.4,     1.5,      54,
0909,2010-02-15,,    19.4,    50.4,    -0.5,     3.4,    -0.5,     1.7,      53,
0909,2010-02-16,,    19.7,    50.4,     1.4,     5.1,    -1.2,     1.5,      53,
0909,2010-02-17,,    19.7,    51.5,    -0.3,     4.2,    -0.5,     1.6,      54,
0909,2010-02-18,,    20.0,    51.5,     1.5,     6.4,    -1.9,     1.3,      53,
0909,2010-02-19,,    20.2,    51.5,     2.8,     8.9,     0.6,     3.8,      53,
0909,2010-02-20,,    20.2,    51.5,     0.8,     9.2,     0.7,     4.2,      53,
0909,2010-02-21,,    20.3,    51.5,     0.5,     8.0,    -0.1,     2.6,      53,
0909,2010-02-22,,    20.3,    51.5,     0.6,     7.5,    -1.2,     1.8,      53,
0909,2010-02-23,,    20.5,    51.5,     0.5,     9.8,     0.0,     3.4,      53,
0909,2010-02-24,,    20.8,    51.5,     0.5,     7.0,     0.3,     2.7,      53,
0909,2010-02-25,,    20.6,    51.9,     0.6,     3.5,     0.0,     1.1,      55,
0909,2010-02-26,,    21.3,    52.1,     1.3,     5.2,     0.0,     1.3,      57,
0909,2010-02-27,,    21.4,    53.1,     2.2,     3.5,     1.1,     2.1,      59,
0909,2010-02-28,,    20.1,    53.3,     1.5,     4.5,     1.5,     2.4,      58,
0909,2010-03-01,,    20.4,    53.4,     3.5,     6.0,     1.2,     3.0,      57,
0909,2010-03-02,,    20.9,    53.4,     5.5,    10.7,     3.2,     6.5,      56,
0909,2010-03-03,,    21.0,    53.6,     1.3,     6.6,     1.2,     4.2,      56,
0909,2010-03-04,,    20.9,    53.9,    -0.9,     3.7,    -1.0,     1.5,      56,
0909,2010-03-05,,    21.0,    53.9,    -0.7,     5.0,    -1.6,     0.9,      56,
0909,2010-03-06,,    21.1,    53.9,     1.2,     6.8,    -1.5,     1.6,      56,
0909,2010-03-07,,    21.7,    54.0,     2.7,     9.7,     0.4,     4.2,      56,
0909,2010-03-08,,    21.4,    54.2,    -1.3,     6.2,    -1.4,     2.4,      58,
0909,2010-03-09,,    21.5,    54.2,    -6.0,     1.1,    -6.5,    -3.0,      60,
0909,2010-03-10,,    22.2,    54.4,    -3.2,    -0.1,    -7.0,    -3.7,      59,
0909,2010-03-11,,    22.4,    54.5,    -2.5,     2.6,    -3.5,    -1.6,      59,
0909,2010-03-12,,    23.0,    55.4,    -0.3,     2.1,    -3.6,    -0.5,      68,
0909,2010-03-13,,    23.3,    55.9,    -2.8,     2.4,    -3.5,    -0.1,      70,
0909,2010-03-14,,    23.1,    56.0,    -2.8,     2.6,    -3.3,    -1.2,      70,
0909,2010-03-15,,    23.7,    56.1,     1.2,     4.8,    -3.2,     0.5,      70,
0909,2010-03-16,,    23.9,    56.1,     7.3,    12.1,     1.1,     5.8,      67,
0909,2010-03-17,,    23.2,    56.4,     0.4,    10.0,     0.4,     5.1,      65,
0909,2010-03-18,,    23.6,    57.0,    -3.6,     4.4,    -3.9,    -0.2,      68,
0909,2010-03-19,,    23.9,    57.2,    -1.6,     6.3,    -4.2,     0.2,      67,
0909,2010-03-20,,    24.3,    57.2,     2.3,     9.8,    -2.3,     3.0,      66,
0909,2010-03-21,,    24.3,    57.3,     2.6,    12.5,     2.3,     7.2,      64,
0909,2010-03-22,,    24.5,    57.9,     0.3,     5.5,     0.1,     2.3,      65,
0909,2010-03-23,,    24.5,    58.2,    -0.1,     4.7,    -0.5,     0.9,      67,
0909,2010-03-24,,    25.0,    58.2,     1.5,     7.2,    -1.0,     2.0,      66,
0909,2010-03-25,,    25.3,    58.2,     5.4,    13.5,     1.5,     7.0,      65,
0909,2010-03-26,,    24.9,    58.4,     0.7,     6.9,     0.7,     2.9,      64,
0909,2010-03-27,,    24.6,    58.8,     0.2,     3.6,    -0.7,     0.9,      67,
0909,2010-03-28,,    25.5,    58.9,     6.0,     8.5,    -0.9,     4.0,      65,
0909,2010-03-29,,    27.0,    59.9,     0.6,     6.2,     0.3,     2.1,      73,
0909,2010-03-30,,    27.5,    60.9,    -1.6,     3.4,    -1.6,     0.5,      80,
0909,2010-03-31,,    27.2,    61.1,    -2.1,     6.0,    -2.3,    -0.4,      78,
0909,2010-04-01,,    27.4,    61.2,    -1.5,     5.1,    -3.5,    -0.4,      77,
0909,2010-04-02,,    28.0,    61.4,    -1.5,     2.6,    -4.4,    -0.9,      76,
0909,2010-04-03,,    29.2,    62.7,    -1.6,    -0.3,    -1.9,    -1.3,      87,
0909,2010-04-04,,    30.0,    63.4,    -2.7,     2.8,    -3.0,    -1.3,      92,
0909,2010-04-05,,    30.3,    63.5,    -0.6,     5.4,    -2.9,     0.6,      89,
0909,2010-04-06,,    30.1,    63.7,    -1.1,     4.8,    -1.6,     0.1,      90,
0909,2010-04-07,,    30.4,    64.1,    -1.5,     3.6,    -1.6,     0.1,      90,
0909,2010-04-08,,    31.8,    64.4,    -0.6,     3.1,    -1.7,     0.3,      87,
0909,2010-04-09,,    32.4,    65.7,    -3.4,     0.0,    -3.7,    -2.5,      95,
0909,2010-04-10,,    32.5,    65.7,    -6.1,     3.4,    -6.2,    -2.6,      99,
0909,2010-04-11,,    32.8,    65.8,    -1.6,     5.3,    -7.1,    -0.9,      95,
0909,2010-04-12,,    32.9,    65.8,     2.2,     7.9,    -2.2,     2.5,      92,
0909,2010-04-13,,    32.8,    66.0,     1.7,    11.4,     1.0,     4.4,      89,
0909,2010-04-14,,    32.8,    66.5,     1.2,     4.3,     0.5,     2.1,      87,
0909,2010-04-15,,    32.3,    66.6,     4.8,    10.6,     1.2,     4.5,      85,
0909,2010-04-16,,    31.7,    66.6,     3.2,    14.6,     3.2,     7.2,      83,
0909,2010-04-17,,    31.4,    66.6,     5.6,    16.4,     3.1,     9.2,      81,
0909,2010-04-18,,    30.9,    66.8,     2.5,     9.8,     2.5,     5.7,      80,
0909,2010-04-19,,    30.7,    66.8,     8.6,    13.8,     1.4,     7.8,      76,
0909,2010-04-20,,    30.1,    66.9,     5.6,    18.8,     5.4,    11.5,      73,
0909,2010-04-21,,    29.8,    67.3,     4.0,     8.0,     4.0,     5.1,      72,
0909,2010-04-22,,    29.2,    67.7,     1.3,     4.1,     0.8,     2.2,      73,
0909,2010-04-23,,    28.9,    67.7,    -0.1,     7.9,    -0.4,     2.0,      71,
0909,2010-04-24,,    28.9,    67.9,     0.0,    10.5,    -1.2,     2.8,      73,
0909,2010-04-25,,    28.7,    68.3,     0.0,     3.7,    -1.4,     0.6,      74,
0909,2010-04-26,,    29.4,    68.4,     4.7,     7.4,    -0.4,     3.4,      71,
0909,2010-04-27,,    30.0,    68.9,     3.8,    11.7,     3.5,     6.6,      69,
0909,2010-04-28,,    28.8,    69.7,     0.5,     8.3,     0.4,     3.6,      71,
0909,2010-04-29,,    28.5,    70.0,     0.6,     5.5,    -0.5,     1.8,      70,
0909,2010-04-30,,    28.6,    70.3,     1.2,     3.6,     0.4,     1.5,      71,
0909,2010-05-01,,    29.3,    70.7,     0.3,     5.9,     0.2,     2.3,      70,
0909,2010-05-02,,    29.0,    70.9,     1.1,     5.3,     0.0,     1.8,      70,
0909,2010-05-03,,    30.1,    71.4,     0.7,     5.1,     0.5,     1.8,      74,
0909,2010-05-04,,    30.0,    72.5,    -1.7,     2.4,    -2.2,    -0.1,      81,
0909,2010-05-05,,    30.9,    72.8,    -3.2,     5.0,    -3.2,    -0.5,      80,
0909,2010-05-06,,    30.8,    72.9,     0.7,     3.5,    -3.8,     0.0,      78,
0909,2010-05-07,,    31.0,    73.0,    -0.2,     8.2,    -0.6,     2.3,      75,
0909,2010-05-08,,    31.0,    73.0,     0.7,    10.3,    -0.9,     3.6,      74,
0909,2010-05-09,,    30.8,    73.0,     0.1,    10.2,     0.0,     3.3,      73,
0909,2010-05-10,,    30.8,    73.1,     3.9,    12.2,    -0.3,     5.4,      71,
0909,2010-05-11,,    29.5,    73.1,     3.1,    12.4,     2.8,     6.5,      69,
0909,2010-05-12,,    29.0,    73.1,     4.1,    13.7,     2.0,     7.1,      67,
0909,2010-05-13,,    28.3,    73.1,     3.7,    12.4,     2.4,     6.6,      65,
0909,2010-05-14,,    27.7,    73.1,     5.6,    14.4,     2.2,     8.1,      63,
0909,2010-05-15,,    26.5,    73.1,     5.9,    16.7,     4.7,     9.9,      61,
