

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:28:33 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0484,2009-10-01,,     0.4,     0.0,    -4.4,    11.2,    -5.4,    -1.3,       3,
0484,2009-10-02,,     0.3,     0.0,    -5.2,     3.7,    -5.3,    -2.5,       2,
0484,2009-10-03,,     0.2,     0.0,    -3.0,     6.9,    -6.7,    -0.9,       2,
0484,2009-10-04,,     0.2,     0.1,     3.8,     7.0,    -3.3,     2.8,       1,
0484,2009-10-05,,     0.9,     1.1,    -2.6,     3.8,    -2.6,     0.8,       3,
0484,2009-10-06,,     1.0,     1.4,    -6.1,     4.4,    -6.0,    -2.5,       4,
0484,2009-10-07,,     0.7,     1.4,    -5.5,     6.3,    -9.0,    -2.7,       3,
0484,2009-10-08,,     0.6,     1.4,    -0.8,     7.9,    -6.8,    -0.3,       3,
0484,2009-10-09,,     0.7,     1.5,    -1.3,     3.3,    -2.8,    -0.3,       3,
0484,2009-10-10,,     0.5,     1.5,    -1.4,     2.8,    -1.7,     0.4,       2,
0484,2009-10-11,,     0.6,     1.6,    -1.4,     1.6,    -3.5,    -1.3,       3,
0484,2009-10-12,,     1.0,     2.2,    -0.4,     1.0,    -1.5,    -0.3,       4,
0484,2009-10-13,,     0.8,     2.2,     2.5,    10.1,    -1.0,     4.1,       3,
0484,2009-10-14,,     0.6,     2.4,     1.8,     9.2,     1.5,     4.3,       2,
0484,2009-10-15,,     0.3,     3.0,     3.8,     7.2,     1.3,     4.0,       1,
0484,2009-10-16,,     0.0,     3.0,     1.7,     9.0,     1.3,     4.6,       0,
0484,2009-10-17,,     0.0,     3.1,     2.6,    10.5,     0.1,     4.5,       0,
0484,2009-10-18,,     0.0,     3.1,     9.0,    14.7,     2.1,     7.8,       0,
0484,2009-10-19,,     0.0,     3.1,     7.5,    16.2,     6.6,    10.7,       0,
0484,2009-10-20,,     0.0,     3.5,     1.3,    10.0,     1.1,     5.1,       0,
0484,2009-10-21,,     0.0,     3.5,    -1.8,     5.9,    -1.8,     1.5,       0,
0484,2009-10-22,,     0.0,     3.5,    -0.1,     5.7,    -3.2,     0.9,       0,
0484,2009-10-23,,     0.0,     3.6,    -0.8,     6.7,    -0.9,     2.2,       0,
0484,2009-10-24,,     0.2,     4.0,     2.5,     5.6,    -1.5,     1.9,       2,
0484,2009-10-25,,     0.1,     4.2,    -2.3,     3.9,    -2.6,     1.2,       1,
0484,2009-10-26,,     0.1,     4.2,    -6.3,     1.4,    -7.3,    -3.3,       1,
0484,2009-10-27,,     0.2,     4.3,    -0.4,     5.3,    -6.5,     0.7,       1,
0484,2009-10-28,,     0.9,     4.9,    -8.7,    -0.1,    -9.5,    -5.3,       6,
0484,2009-10-29,,     0.9,     4.9,    -9.2,     1.5,   -11.7,    -6.4,       5,
0484,2009-10-30,,     0.9,     5.0,    -6.9,    -0.3,   -12.8,    -7.3,       5,
0484,2009-10-31,,     1.0,     5.1,     1.0,     1.0,    -6.9,    -1.7,       4,
0484,2009-11-01,,     0.9,     5.1,     1.8,     7.3,    -0.1,     2.1,       3,
0484,2009-11-02,,     0.8,     5.1,     0.3,     7.9,     0.0,     3.3,       2,
0484,2009-11-03,,     0.7,     5.1,     4.3,     8.5,    -1.6,     2.6,       2,
0484,2009-11-04,,     0.5,     5.2,     1.0,     8.5,    -0.2,     3.6,       1,
0484,2009-11-05,,     0.3,     5.2,     7.7,    15.5,     0.9,     7.3,       1,
0484,2009-11-06,,     0.0,     5.2,     7.5,    13.1,     4.0,     8.4,       0,
0484,2009-11-07,,     0.0,     5.2,     1.8,     8.1,     1.8,     5.4,       0,
0484,2009-11-08,,     0.0,     5.2,    -1.4,     6.5,    -1.9,     2.0,       0,
0484,2009-11-09,,     0.0,     5.2,    -4.7,     3.4,    -6.3,    -2.1,       0,
0484,2009-11-10,,     0.0,     5.2,     0.6,     7.9,    -4.9,     0.5,       0,
0484,2009-11-11,,     0.0,     5.2,     4.5,     7.8,    -0.3,     3.1,       0,
0484,2009-11-12,,     0.0,     5.2,     6.3,    10.1,     3.2,     6.3,       0,
0484,2009-11-13,,     0.6,     5.8,   -11.5,     6.4,   -11.5,    -1.0,       7,
0484,2009-11-14,,     0.6,     5.8,    -9.8,    -0.8,   -12.7,    -8.8,       6,
0484,2009-11-15,,     0.9,     6.1,   -11.2,    -2.3,   -11.2,    -7.6,       8,
0484,2009-11-16,,     0.9,     6.1,   -10.6,    -3.2,   -12.1,    -9.2,       6,
0484,2009-11-17,,     0.9,     6.1,    -4.1,     6.0,   -11.4,    -4.5,       7,
0484,2009-11-18,,     0.9,     6.1,     0.1,    10.4,    -4.4,     0.6,       5,
0484,2009-11-19,,     0.9,     6.1,    -6.1,     6.4,    -6.1,     0.2,       6,
0484,2009-11-20,,     0.9,     6.1,    -3.6,     4.6,    -8.1,    -3.5,       6,
0484,2009-11-21,,     1.0,     6.2,     1.4,     6.2,    -3.9,     1.6,       5,
0484,2009-11-22,,     1.5,     6.7,   -13.7,     1.7,   -13.6,    -5.7,      12,
0484,2009-11-23,,     1.9,     7.1,    -8.0,    -0.7,   -13.9,    -6.9,      14,
0484,2009-11-24,,     1.9,     7.1,    -9.8,    -3.0,   -10.2,    -7.5,      12,
0484,2009-11-25,,     1.9,     7.1,    -6.1,     2.1,   -13.0,    -5.9,      12,
0484,2009-11-26,,     1.9,     7.1,    -4.2,     7.6,    -8.0,    -2.1,      10,
0484,2009-11-27,,     1.9,     7.1,     3.2,     9.8,    -4.3,     1.8,       9,
0484,2009-11-28,,     1.9,     7.1,    -1.3,     7.0,    -2.1,     1.5,       9,
0484,2009-11-29,,     1.9,     7.1,    -5.8,     4.6,    -6.1,    -0.9,       9,
0484,2009-11-30,,     1.9,     7.1,    -6.1,     2.3,    -7.6,    -4.0,       9,
0484,2009-12-01,,     1.9,     7.1,    -3.2,     5.4,    -7.3,    -1.7,       9,
0484,2009-12-02,,     1.9,     7.1,    -9.2,    -0.5,    -9.3,    -4.3,       9,
0484,2009-12-03,,     1.9,     7.1,   -17.1,    -2.3,   -17.4,   -12.0,      10,
0484,2009-12-04,,     1.9,     7.1,   -16.3,    -8.2,   -19.3,   -15.3,      10,
0484,2009-12-05,,     2.0,     7.2,    -5.8,    -3.9,   -16.5,    -8.8,      11,
0484,2009-12-06,,     2.2,     7.4,   -13.8,    -5.8,   -17.2,   -10.8,      13,
0484,2009-12-07,,     2.4,     7.5,   -21.2,   -13.7,   -22.1,   -17.3,      17,
0484,2009-12-08,,     2.6,     7.7,   -14.3,    -8.5,   -21.7,   -15.7,      16,
0484,2009-12-09,,     2.7,     7.8,   -18.4,   -12.7,   -20.2,   -16.4,      17,
0484,2009-12-10,,     2.7,     7.8,   -18.5,   -15.6,   -19.0,   -17.5,      18,
0484,2009-12-11,,     2.7,     7.8,   -13.7,    -8.5,   -19.1,   -15.0,      17,
0484,2009-12-12,,     2.9,     8.0,    -5.8,    -0.2,   -13.8,    -8.0,      14,
0484,2009-12-13,,     3.6,     8.6,    -3.6,    -0.7,    -5.9,    -3.8,      22,
0484,2009-12-14,,     4.6,     9.5,    -5.2,    -1.8,    -5.2,    -3.8,      28,
0484,2009-12-15,,     4.6,     9.5,    -7.6,    -4.5,    -8.8,    -6.2,      26,
0484,2009-12-16,,     4.6,     9.5,    -2.6,     0.6,    -7.8,    -3.9,      26,
0484,2009-12-17,,     4.9,     9.7,    -1.3,     1.7,    -2.9,    -0.9,      24,
0484,2009-12-18,,     4.9,     9.7,    -4.2,     1.8,    -4.2,    -1.6,      23,
0484,2009-12-19,,     4.9,     9.7,    -6.5,    -0.6,    -8.9,    -4.7,      22,
0484,2009-12-20,,     4.9,     9.7,    -2.5,    -0.4,    -9.8,    -4.0,      21,
0484,2009-12-21,,     4.9,     9.7,    -3.4,     6.5,    -3.6,    -0.4,      21,
0484,2009-12-22,,     4.9,     9.7,    -4.2,     2.5,    -4.8,    -1.8,      21,
0484,2009-12-23,,     5.0,     9.8,    -7.0,    -1.0,    -8.5,    -3.7,      22,
0484,2009-12-24,,     5.0,     9.8,   -13.0,    -5.6,   -15.8,    -8.9,      22,
0484,2009-12-25,,     5.0,     9.8,   -12.7,    -7.3,   -13.3,   -11.8,      23,
0484,2009-12-26,,     5.0,     9.8,   -12.8,    -4.4,   -14.2,   -11.4,      22,
0484,2009-12-27,,     5.0,     9.8,   -11.0,    -1.8,   -13.9,    -9.9,      22,
0484,2009-12-28,,     5.0,     9.8,   -11.4,    -1.8,   -12.9,    -9.0,      21,
0484,2009-12-29,,     5.0,     9.9,    -8.8,    -0.4,   -13.2,    -8.1,      21,
0484,2009-12-30,,     5.0,     9.9,    -8.0,    -3.7,   -10.4,    -7.5,      20,
0484,2009-12-31,,     5.2,    10.2,    -8.5,    -5.7,    -8.8,    -7.8,      26,
0484,2010-01-01,,     5.4,    10.4,    -4.2,    -4.2,    -9.4,    -7.6,      28,
0484,2010-01-02,,     6.0,    11.0,    -1.8,    -0.6,    -4.4,    -2.5,      30,
0484,2010-01-03,,     6.1,    11.1,    -5.3,    -1.7,    -6.1,    -4.0,      29,
0484,2010-01-04,,     6.1,    11.1,    -8.9,    -1.3,    -9.2,    -5.3,      27,
0484,2010-01-05,,     6.1,    11.1,    -3.2,     3.0,    -9.5,    -4.3,      27,
0484,2010-01-06,,     6.3,    11.3,    -2.1,     0.2,    -3.5,    -1.8,      28,
0484,2010-01-07,,     6.5,    11.5,   -15.1,    -1.2,   -15.6,    -5.0,      30,
0484,2010-01-08,,     6.5,    11.5,   -12.2,    -0.4,   -16.6,   -11.4,      28,
0484,2010-01-09,,     6.5,    11.6,    -6.2,     3.9,   -13.3,    -7.0,      27,
0484,2010-01-10,,     6.5,    11.6,    -4.2,     3.9,    -7.1,    -2.8,      26,
0484,2010-01-11,,     6.5,    11.6,    -4.8,     5.5,    -5.8,    -1.9,      25,
0484,2010-01-12,,     6.5,    11.6,    -2.5,     6.7,    -5.9,    -1.6,      26,
0484,2010-01-13,,     6.6,    11.7,    -1.3,     5.1,    -4.9,     0.1,      26,
0484,2010-01-14,,     6.6,    11.7,    -3.2,     5.0,    -4.1,    -0.7,      25,
0484,2010-01-15,,     6.6,    11.7,    -8.2,    -2.4,   -10.5,    -4.6,      27,
0484,2010-01-16,,     6.6,    11.7,    -1.7,     3.4,   -11.0,    -4.5,      26,
0484,2010-01-17,,     6.6,    11.7,    -3.5,     7.0,    -4.6,    -0.5,      26,
0484,2010-01-18,,     6.6,    11.7,    -1.5,     5.4,    -5.3,    -1.6,      25,
0484,2010-01-19,,     6.8,    12.0,    -2.7,     0.4,    -4.1,    -2.1,      26,
0484,2010-01-20,,     7.4,    12.5,    -7.0,     0.5,    -9.4,    -4.2,      34,
0484,2010-01-21,,     7.4,    12.6,    -5.2,    -0.6,    -7.5,    -5.1,      32,
0484,2010-01-22,,     8.0,    13.2,    -4.2,     0.6,    -5.9,    -3.9,      41,
0484,2010-01-23,,     8.7,    13.8,    -6.2,    -0.7,    -6.2,    -4.2,      47,
0484,2010-01-24,,     9.3,    14.4,    -7.6,    -5.5,    -7.6,    -6.8,      51,
0484,2010-01-25,,     9.8,    14.9,    -9.0,    -5.5,   -11.6,    -7.8,      52,
0484,2010-01-26,,     9.8,    14.9,    -9.4,    -2.6,    -9.5,    -6.6,      48,
0484,2010-01-27,,     9.9,    15.1,    -4.2,     0.7,   -10.2,    -4.1,      46,
0484,2010-01-28,,     9.9,    15.1,    -5.7,     1.0,    -6.4,    -3.5,      44,
0484,2010-01-29,,     9.9,    15.1,    -9.8,     3.4,    -9.9,    -5.1,      43,
0484,2010-01-30,,     9.9,    15.1,    -8.1,     5.0,    -9.9,    -5.2,      42,
0484,2010-01-31,,    10.1,    15.3,    -3.9,     4.0,    -9.7,    -4.3,      42,
0484,2010-02-01,,    11.2,    16.3,    -5.5,    -3.5,    -5.5,    -4.6,      55,
0484,2010-02-02,,    11.2,    16.3,   -10.8,    -1.2,   -11.9,    -6.5,      52,
0484,2010-02-03,,    11.2,    16.4,    -7.6,     2.9,   -11.2,    -5.4,      49,
0484,2010-02-04,,    11.4,    16.6,    -4.3,     2.7,    -7.9,    -3.6,      48,
0484,2010-02-05,,    11.5,    16.6,    -6.7,     2.5,    -9.4,    -5.1,      49,
0484,2010-02-06,,    11.8,    17.0,    -2.3,     0.7,    -6.8,    -2.7,      49,
0484,2010-02-07,,    11.8,    17.0,    -6.7,     4.3,    -7.0,    -2.5,      49,
0484,2010-02-08,,    11.8,    17.0,   -10.4,    -1.1,   -10.8,    -5.9,      47,
0484,2010-02-09,,    11.8,    17.0,   -12.3,     0.1,   -12.9,    -8.1,      47,
0484,2010-02-10,,    11.8,    17.0,    -9.3,    -1.8,   -13.2,    -8.8,      45,
0484,2010-02-11,,    12.0,    17.0,    -6.2,    -3.2,    -9.3,    -6.3,      45,
0484,2010-02-12,,    12.2,    17.3,    -3.7,    -2.2,    -6.5,    -4.7,      47,
0484,2010-02-13,,    12.7,    17.7,    -2.8,     2.0,    -3.9,    -2.7,      47,
0484,2010-02-14,,    13.4,    18.4,   -10.0,    -1.9,   -10.2,    -4.3,      51,
0484,2010-02-15,,    13.4,    18.4,    -5.2,     4.4,   -11.4,    -5.5,      50,
0484,2010-02-16,,    13.9,    18.9,    -7.0,     2.7,    -7.5,    -2.3,      53,
0484,2010-02-17,,    14.0,    18.9,    -5.7,     4.4,    -9.6,    -4.2,      51,
0484,2010-02-18,,    14.0,    18.9,    -4.8,     2.4,    -6.7,    -3.8,      50,
0484,2010-02-19,,    14.0,    18.9,   -10.5,     0.1,   -11.0,    -5.5,      48,
0484,2010-02-20,,    14.0,    18.9,   -13.8,    -2.0,   -14.3,    -8.3,      49,
0484,2010-02-21,,    14.0,    18.9,   -13.6,    -2.3,   -15.0,   -10.5,      49,
0484,2010-02-22,,    14.0,    18.9,   -15.8,    -3.7,   -16.7,   -12.0,      50,
0484,2010-02-23,,    14.0,    19.0,   -14.7,    -4.9,   -17.7,   -12.3,      48,
0484,2010-02-24,,    14.0,    19.1,    -7.0,     3.7,   -15.6,    -7.5,      48,
0484,2010-02-25,,    14.4,    19.3,    -4.4,     0.6,    -7.1,    -3.8,      49,
0484,2010-02-26,,    14.6,    19.5,    -8.8,    -1.0,    -9.8,    -4.8,      51,
0484,2010-02-27,,    14.6,    19.6,    -4.8,     4.3,   -11.3,    -4.2,      50,
0484,2010-02-28,,    14.6,    19.6,    -2.5,     7.1,    -5.6,    -0.8,      49,
0484,2010-03-01,,    14.6,    19.6,    -7.4,     3.5,    -7.7,    -2.7,      48,
0484,2010-03-02,,    14.6,    19.6,    -5.4,     7.2,    -7.9,    -2.0,      46,
0484,2010-03-03,,    14.6,    19.6,    -1.3,     7.0,    -6.5,    -0.3,      44,
0484,2010-03-04,,    14.6,    19.7,    -2.5,     4.8,    -2.6,    -0.4,      42,
0484,2010-03-05,,    14.8,    19.8,    -2.5,     6.2,    -4.5,    -0.9,      44,
0484,2010-03-06,,    15.1,    20.0,    -3.8,    -0.2,    -3.8,    -2.5,      47,
0484,2010-03-07,,    15.1,    20.0,    -3.4,     6.0,    -7.6,    -1.5,      47,
0484,2010-03-08,,    15.1,    20.1,    -1.7,     3.9,    -5.6,    -1.5,      47,
0484,2010-03-09,,    15.1,    20.1,    -7.2,     3.9,    -7.3,    -1.7,      46,
0484,2010-03-10,,    15.1,    20.2,    -7.2,     4.9,    -7.7,    -2.7,      44,
0484,2010-03-11,,    15.1,    20.2,    -9.9,    -3.7,   -12.7,    -8.3,      44,
0484,2010-03-12,,    15.1,    20.2,   -10.1,    -1.4,   -10.4,    -7.0,      44,
0484,2010-03-13,,    15.1,    20.2,    -1.0,     7.2,   -10.8,    -2.3,      44,
0484,2010-03-14,,    15.4,    20.4,    -4.3,     0.4,    -5.8,    -2.3,      45,
0484,2010-03-15,,    15.4,    20.4,    -3.7,     8.1,    -6.6,    -0.1,      44,
0484,2010-03-16,,    15.4,    20.4,    -3.5,     9.0,    -5.8,     0.1,      43,
0484,2010-03-17,,    15.4,    20.4,    -1.8,    10.9,    -5.2,     1.2,      42,
0484,2010-03-18,,    15.3,    20.4,     0.5,    14.0,    -2.3,     3.9,      41,
0484,2010-03-19,,    15.3,    20.4,    -8.1,     5.2,    -8.4,    -0.9,      40,
0484,2010-03-20,,    15.3,    20.4,   -11.0,     2.7,   -11.2,    -5.3,      40,
0484,2010-03-21,,    15.3,    20.4,    -6.6,     2.3,   -12.4,    -5.3,      41,
0484,2010-03-22,,    15.3,    20.5,     1.5,     8.6,    -6.8,     1.1,      40,
0484,2010-03-23,,    15.5,    20.8,    -5.2,     3.4,    -5.2,    -1.3,      41,
0484,2010-03-24,,    15.7,    20.8,    -7.6,     2.2,    -8.5,    -4.1,      42,
0484,2010-03-25,,    15.8,    20.8,    -3.0,     5.7,    -9.8,    -2.3,      42,
0484,2010-03-26,,    15.9,    20.9,    -4.4,     5.8,    -5.3,    -2.3,      42,
0484,2010-03-27,,    16.4,    21.3,    -5.8,    -0.4,    -6.2,    -4.7,      47,
0484,2010-03-28,,    16.6,    21.3,    -8.4,     3.2,    -9.2,    -3.4,      45,
0484,2010-03-29,,    16.7,    21.4,     1.6,     7.1,    -9.7,    -0.8,      43,
0484,2010-03-30,,    16.7,    21.4,     5.9,     7.8,     1.3,     4.9,      41,
0484,2010-03-31,,    17.9,    22.4,    -6.6,     6.1,    -6.7,     0.4,      52,
0484,2010-04-01,,    18.3,    22.9,    -5.7,    -1.1,    -6.9,    -4.8,      53,
0484,2010-04-02,,    18.6,    23.2,    -8.1,     1.1,    -9.3,    -6.1,      57,
0484,2010-04-03,,    19.0,    23.5,    -3.2,     1.0,    -8.4,    -4.8,      57,
0484,2010-04-04,,    19.8,    24.2,    -9.0,    -2.1,    -9.5,    -6.8,      60,
0484,2010-04-05,,    20.1,    24.6,    -4.1,     3.0,   -11.1,    -4.5,      64,
0484,2010-04-06,,    21.1,    25.4,    -7.3,     6.9,    -7.3,    -2.0,      70,
0484,2010-04-07,,    21.6,    25.9,    -8.9,    -3.0,    -8.9,    -6.1,      72,
0484,2010-04-08,,    21.6,    25.9,    -7.1,     2.9,   -11.4,    -4.5,      65,
0484,2010-04-09,,    21.6,    25.9,    -2.9,     6.6,    -7.9,    -0.8,      62,
0484,2010-04-10,,    21.5,    25.9,    -9.3,     2.8,    -9.3,    -3.4,      60,
0484,2010-04-11,,    21.4,    26.0,     0.7,     9.0,    -9.8,     0.4,      57,
0484,2010-04-12,,    21.3,    26.0,     3.9,    13.0,     0.1,     5.4,      54,
0484,2010-04-13,,    21.3,    26.1,    -2.4,    11.4,    -2.5,     3.6,      56,
0484,2010-04-14,,    21.7,    26.7,    -3.7,     1.5,    -4.0,    -2.3,      58,
