,ID,Seq_NSE,Seq_dry_err,Seq_NSE_extreme,Seq_S2,Station,NonSeq_NSE,NS_dry_err,NS_NSE_extreme,Agg_S2,Improvement,Percent_change
0,88,0.688067943426582,0.16064981949458484,-0.21886464271033246,1.7,831,0.683819482600246,0.15703971119133575,-0.24364260683037942,1.7,0.004248460826335898,0.6212839695910661
1,77,0.8100425186070302,0.13240418118466898,0.07628097581676829,1.68,1060,0.8084633596731055,0.13066202090592335,0.10707115206390072,1.68,0.0015791589339247958,0.19532844810225092
2,90,0.6923857476549586,0.10050251256281408,-0.3361652318850654,1.63,843,0.6949368116543153,0.08877721943048576,-0.3304391951944443,1.63,-0.002551063999356673,-0.36709294378632756
3,61,0.6040280895060053,0.12919463087248323,-0.5022281341844703,1.62,632,0.60194442619549,0.1325503355704698,-0.5167144643134143,1.62,0.002083663310515238,0.3461554289462826
4,50,0.824256704651791,0.07830342577487764,0.22096771674404547,1.6099999999999999,586,0.8121948934617714,0.08319738988580751,0.11171036304641391,1.6099999999999999,0.012061811190019589,1.4850882820266484
5,57,0.7356224568473156,0.11545293072824156,0.3706190209049587,1.6,1040,0.736861851674177,0.12078152753108348,0.3451844130410383,1.6,-0.0012393948268613064,-0.16819907612876908
6,71,0.8036118592920187,0.1299638989169675,0.11727026568789889,1.6,713,0.8001547866109016,0.1371841155234657,0.10330824173053144,1.56,0.003457072681117168,0.43205049060067297
7,60,0.7089991966928493,0.12060301507537688,-0.44717987189626873,1.6099999999999999,629,0.6662090301014976,0.12395309882747069,-0.8111845643586562,1.51,0.04279016659135171,6.422934042913315
8,51,0.7596350017395808,0.11833333333333333,0.005413983412559276,1.58,589,0.7504605639729302,0.12666666666666668,0.0002978567955644884,1.53,0.009174437766650612,1.2225076449162413
9,29,0.6735122206055781,0.1720226843100189,-1.1242328709728886,1.58,467,0.6775286834568638,0.1720226843100189,-1.1089350514587673,1.58,-0.0040164628512856515,-0.5928107472576647
10,91,0.7046754544600624,0.17533718689788053,-0.32383524108998607,1.5899999999999999,859,0.704456269401639,0.16570327552986513,-0.31399875777631525,1.58,0.00021918505842344338,0.031114075911286572
11,46,0.7647673469301475,0.19165085388994307,-0.4307357294451266,1.5699999999999998,565,0.7657840253097116,0.19165085388994307,-0.4310050291535845,1.5699999999999998,-0.0010166783795640955,-0.13276306973796076
12,23,0.7892821735218619,0.07512520868113523,-0.05326537677195908,1.56,444,0.7841393913901326,0.07846410684474124,-0.04693809219827938,1.56,0.005142782131729362,0.6558505016068853
13,86,0.6966779365001533,0.1970649895178197,-0.489593163014284,1.55,825,0.6988121397983009,0.20964360587002095,-0.5144348440434217,1.55,-0.002134203298147619,-0.3054044394196725
