,ID,Seq_NSE,Seq_dry_err,Seq_NSE_extreme,Seq_S2,Station,NonSeq_NSE,NS_dry_err,NS_NSE_extreme,Agg_S2,Improvement,Percent_change
0,19,0.7119915575712616,0.1686746987951807,-0.08293602324892357,1.63,904,0.7102347218415227,0.16523235800344235,-0.07506469254976977,1.63,0.001756835729738948,0.24735987634957635
1,90,0.6972485481291197,0.10385259631490787,-0.2934618018716495,1.63,843,0.6847031378278748,0.09380234505862646,-0.3774335514934184,1.63,0.012545410301244897,1.8322408074605092
2,61,0.6002615195951645,0.12080536912751678,-0.5060440055079309,1.62,632,0.5959477075259973,0.12416107382550336,-0.5224678353587366,1.62,0.0043138120691671444,0.723857481904813
3,79,0.731903730354579,0.08653846153846154,0.178609971728794,1.62,765,0.7333447076596655,0.08493589743589744,0.16764612699970438,1.62,-0.0014409773050865216,-0.19649385753190132
4,88,0.6565724375805394,0.148014440433213,-0.325155361576408,1.6400000000000001,831,0.634322740593807,0.1444043321299639,-0.4580038582649193,1.6099999999999999,0.022249696986732403,3.5076303532652555
5,8,0.7360331874252155,0.14788732394366197,0.27118929289119453,1.65,353,0.7002624271098152,0.17781690140845072,0.017135022567147162,1.54,0.035770760315400274,5.108193575805074
6,50,0.8048775041972102,0.09624796084828711,0.16610185349168882,1.6099999999999999,586,0.7955649279679133,0.09624796084828711,0.11910048903753212,1.6099999999999999,0.00931257622929682,1.1705614340093702
7,77,0.7944672451546804,0.11149825783972125,0.10377241967470985,1.6,1060,0.7659218692622708,0.13763066202090593,-0.11470386968546831,1.54,0.028545375892409575,3.7269305183705264
8,55,0.8233480163061377,0.10961214165261383,0.44435100484234724,1.63,905,0.745090458525426,0.12984822934232715,0.25126208571895836,1.51,0.07825755778071175,10.503094877310287
9,51,0.7515671792556748,0.12166666666666667,-0.023165945414471922,1.57,589,0.7314502153452465,0.135,-0.0907392319228757,1.52,0.020116963910428387,2.750284775148111
10,46,0.7583784628933592,0.1954459203036053,-0.5413327132248305,1.5699999999999998,565,0.7614183491956115,0.18785578747628084,-0.4394791183015576,1.5699999999999998,-0.0030398863022522704,-0.3992399586198193
11,71,0.7384518763037153,0.1624548736462094,-0.23841461001203657,1.55,713,0.7091300458261254,0.1588447653429603,-0.3981016918303042,1.47,0.02932183047758996,4.134901722212389
12,60,0.7093975827281759,0.12562814070351758,-0.5364987862608503,1.5899999999999999,629,0.6055300939218857,0.1273031825795645,-1.2803662055232725,1.49,0.10386748880629015,17.153150578126215
13,36,0.6737305017961508,0.12609457092819615,-1.0135125222422605,1.57,538,0.525557478639396,0.14886164623467601,-2.3909249264504804,1.3,0.14817302315675485,28.19349532240635
14,96,0.6944388332977448,0.092,-0.4070853647718433,1.54,0761,0.6836082527948749,0.094,-0.4833347486515962,1.54,0.010830580502869891,1.5843255927045896
15,52,0.6878707090861307,0.11165048543689321,-0.2167378536692124,1.54,597,0.6513149754315425,0.11003236245954692,-0.3658808196113119,1.47,0.036555733654588196,5.612604505272955
16,53,0.7271654880988969,0.16266173752310537,-0.41853134549338766,1.54,940,0.7198387913930849,0.16635859519408502,-0.44747838209806745,1.54,0.007326696705811986,1.0178246564946611
17,91,0.6888711118092782,0.1791907514450867,-0.40882799106781853,1.5899999999999999,859,0.6902720982722462,0.1579961464354528,-0.39197728811407573,1.5,-0.0014009864629680457,-0.20296147946218895
18,29,0.6643668433920912,0.15500945179584122,-1.2760719023207066,1.58,467,0.641268839841782,0.17580340264650285,-1.5863857544148119,1.48,0.02309800355030922,3.6019220201012905
19,86,0.6946367819719466,0.1949685534591195,-0.49171153166624326,1.56,825,0.6838410957325384,0.20125786163522014,-0.5601331381752748,1.51,0.010795686239408187,1.5786834553784348
20,17,0.5910090690215746,0.1440972222222222,-0.4767842750287079,1.53,1101,0.5869136990902415,0.1388888888888889,-0.49042857026781506,1.53,0.004095369931333082,0.6977806000577598
21,43,0.7624382912505848,0.07728706624605679,-0.01132360316919323,1.5299999999999998,555,0.6048020835585566,0.1167192429022082,-0.9175714052385324,1.3599999999999999,0.15763620769202824,26.06409798797692
22,24,0.5982602147402489,0.15302491103202848,-0.9320365903378176,1.5,449,0.595932047087463,0.15658362989323843,-0.9061424010378194,1.5,0.002328167652785984,0.3906766994936063
23,56,0.7424926076814848,0.1070811744386874,0.09855189440289758,1.5,618,0.7549567029526134,0.11053540587219343,0.10998430670805714,1.5,-0.012464095271128572,-1.6509682240560104
24,67,0.7523714703931026,0.14673913043478262,0.23252979340539137,1.5,682,0.7451521511710538,0.15942028985507245,0.18240021088088254,1.49,0.00721931922204877,0.9688382715802609
25,3,0.5202501869040095,0.10596026490066225,-1.023178179954964,1.49,1041,0.5370885201086384,0.10430463576158941,-0.8975217841257062,1.4700000000000002,-0.016838333204628908,-3.1351132214151534
26,57,0.7384259362490693,0.1261101243339254,0.36210681497132147,1.5899999999999999,1040,0.5794563397801797,0.152753108348135,-0.41121800614976567,1.44,0.15896959646888953,27.434266493519704
27,20,0.6792371326113298,0.15151515151515152,-0.8196267170794691,1.49,415,0.6733500979596214,0.15151515151515152,-0.8640981381407769,1.49,0.005887034651708367,0.874290308941396
28,1,0.6448756041736423,0.10638297872340426,0.04526102764439599,1.49,317,0.6120872775568938,0.12111292962356793,-0.08948409569537175,1.44,0.032788326616748464,5.3568057724742975
29,41,0.7324310317784882,0.1556350626118068,-0.5216941134360238,1.47,970,0.7296065163917321,0.16994633273703041,-0.5531358659267795,1.47,0.002824515386756099,0.3871285855182236
30,74,0.7317431495107463,0.23140495867768596,0.18337072820872857,1.46,737,0.722430732392066,0.22727272727272727,0.15878757456280657,1.4100000000000001,0.00931241711868025,1.2890394471239581
31,6,0.6735325806564101,0.19326241134751773,-1.2693850948030554,1.46,345,0.6677694684064612,0.18617021276595744,-1.2935554062802481,1.43,0.005763112249948854,0.8630391958023654
32,23,0.7463499745106588,0.06844741235392321,-0.33207078646514643,1.46,444,0.7526329095473362,0.06844741235392321,-0.3010277287771861,1.46,-0.006282935036677428,-0.8347940884562487
33,37,0.6350364516497615,0.11091549295774648,-1.1294069151563844,1.45,542,0.6242901136468806,0.10915492957746478,-1.1950899653924703,1.45,0.01074633800288094,1.7213692429157108
34,13,0.6908422427019245,0.12121212121212122,-0.5221070201817082,1.45,380,0.6694968560758952,0.12121212121212122,-0.6554809686495806,1.33,0.02134538662602936,3.188272869739902
35,66,0.6436495982107477,0.08823529411764706,-0.3638932190374644,1.47,680,0.6032841429735698,0.09752321981424149,-0.6592093723447368,1.29,0.04036545523717794,6.690952465320536
36,59,0.6784375307717323,0.09671848013816926,-0.5605648212869336,1.44,1014,0.6296065288952594,0.12089810017271158,-0.7919192268375403,1.37,0.048831001876472935,7.755796618271156
37,76,0.5032429328115344,0.10378912685337727,-1.8946615092920962,1.43,742,0.5141145960788807,0.10873146622734761,-1.8880449520220366,1.25,-0.010871663267346232,-2.114638127426009
38,92,0.5579404951617406,0.1532258064516129,-0.3898386853627067,1.42,869,0.5423139964026553,0.14838709677419354,-0.4583080071664325,1.4,0.015626498759085283,2.881448545075532
